Date,Close,Weighted Sentiment Score,Combi 1: Overbought/ Overbought + SMA Crossover (8 & 12),Combi 1 Days,Combi 2: Crossover (Price & EMA 20) + EMA Crossover (12 &20),Combi 2 Days,Combi 3: Crossover (Price & EMA 12) + EMA Crossover (12 &20),Combi 3 Days,Combi 4: Crossover (Price & EMA 12) + Crossover (Price & EMA 50),Combi 4 Days,Combi 5: Crossover (Price & EMA 20) + SMA Crossover (8 & 12),Combi 5 Days,Combi 6: Crossover (Price & EMA 12) + Crossover (Price & EMA 20),Combi 6 Days,Combi 7: Crossover (Price & EMA 12) + MACD Crossover,Combi 7 Days,Combi 8: Crossover (Price & EMA 12) + SMA Crossover (8 & 12),Combi 8 Days,Combi 9: Crossover (Price & EMA 12) + SMA Crossover (12 & 20),Combi 9 Days,Combi 10: Crossover (Price & EMA 20) + MACD Crossover,Combi 10 Days
2/1/2020,72.53852081,0.7165621460535,Hold,5.0,Hold,6.0,Hold,6.0,Hold,8.0,Hold,6.0,Hold,8.0,Hold,10.0,Hold,4.0,Hold,4.0,Hold,6.0
3/1/2020,71.83327484,0.6605844724909637,Hold,5.0,Hold,6.0,Hold,6.0,Hold,8.0,Hold,6.0,Hold,8.0,Hold,10.0,Hold,4.0,Hold,4.0,Hold,6.0
6/1/2020,72.40569305,0.6684746785782241,Hold,5.0,Hold,6.0,Hold,6.0,Hold,8.0,Hold,6.0,Hold,8.0,Hold,10.0,Hold,4.0,Hold,4.0,Hold,6.0
7/1/2020,72.06516266,0.7050163365941324,Hold,5.0,Hold,6.0,Hold,6.0,Hold,8.0,Hold,6.0,Hold,8.0,Hold,10.0,Hold,4.0,Hold,4.0,Hold,6.0
8/1/2020,73.22441101,0.6777336021302229,Hold,5.0,Hold,6.0,Hold,6.0,Hold,8.0,Hold,6.0,Hold,8.0,Hold,10.0,Hold,4.0,Hold,4.0,Hold,6.0
9/1/2020,74.77976227,0.6643362910542918,Hold,5.0,Hold,6.0,Hold,6.0,Hold,8.0,Hold,6.0,Hold,8.0,Hold,10.0,Hold,4.0,Hold,4.0,Hold,6.0
10/1/2020,74.94879913,0.6474158372193258,Hold,5.0,Hold,6.0,Hold,6.0,Hold,8.0,Hold,6.0,Hold,8.0,Hold,10.0,Hold,4.0,Hold,4.0,Hold,6.0
13/1/2020,76.55004883,0.7032833702647084,Hold,5.0,Hold,6.0,Hold,6.0,Hold,8.0,Hold,6.0,Hold,8.0,Hold,10.0,Hold,4.0,Hold,4.0,Hold,6.0
14/1/2020,75.51636505,0.6764775316346776,Hold,5.0,Hold,6.0,Hold,6.0,Hold,8.0,Hold,6.0,Hold,8.0,Hold,10.0,Hold,4.0,Hold,4.0,Hold,6.0
15/1/2020,75.19274902,0.7058176346254201,Hold,5.0,Hold,6.0,Hold,6.0,Hold,8.0,Hold,6.0,Hold,8.0,Hold,10.0,Hold,4.0,Hold,4.0,Hold,6.0
16/1/2020,76.13463593,0.6819211070334382,Hold,5.0,Hold,6.0,Hold,6.0,Hold,8.0,Hold,6.0,Hold,8.0,Hold,10.0,Hold,4.0,Hold,4.0,Hold,6.0
17/1/2020,76.97753143,0.7068017782675591,Hold,5.0,Hold,6.0,Hold,6.0,Hold,8.0,Hold,6.0,Hold,8.0,Hold,10.0,Hold,4.0,Hold,4.0,Hold,6.0
21/1/2020,76.45587158,0.6908635175140353,Hold,5.0,Hold,6.0,Hold,6.0,Hold,8.0,Hold,6.0,Hold,8.0,Hold,10.0,Hold,4.0,Hold,4.0,Hold,6.0
22/1/2020,76.72878265,0.7092855745068353,Hold,5.0,Hold,6.0,Hold,6.0,Hold,8.0,Hold,6.0,Hold,8.0,Hold,10.0,Hold,4.0,Hold,4.0,Hold,6.0
23/1/2020,77.09830475,0.6990537689032404,Hold,5.0,Hold,6.0,Hold,6.0,Hold,8.0,Hold,6.0,Hold,8.0,Hold,10.0,Hold,4.0,Hold,4.0,Hold,6.0
24/1/2020,76.87608337,0.6550682934771894,Sell,5.0,Hold,6.0,Hold,6.0,Hold,8.0,Hold,6.0,Hold,8.0,Hold,10.0,Hold,4.0,Hold,4.0,Hold,6.0
27/1/2020,74.61551666,0.592825922665728,Hold,5.0,Hold,6.0,Hold,6.0,Hold,8.0,Hold,6.0,Hold,8.0,Sell,10.0,Hold,4.0,Hold,4.0,Sell,6.0
28/1/2020,76.72634888,0.6242543706829389,Hold,5.0,Hold,6.0,Hold,6.0,Hold,8.0,Hold,6.0,Sell,8.0,Hold,10.0,Sell,4.0,Hold,4.0,Hold,6.0
29/1/2020,78.33240509,0.6169327208851372,Hold,5.0,Hold,6.0,Hold,6.0,Hold,8.0,Hold,6.0,Buy,8.0,Hold,10.0,Buy,4.0,Hold,4.0,Hold,6.0
30/1/2020,78.21890259,0.6030537446950631,Hold,5.0,Hold,6.0,Hold,6.0,Hold,8.0,Hold,6.0,Hold,8.0,Hold,10.0,Hold,4.0,Hold,4.0,Hold,6.0
31/1/2020,74.75076294,0.6352059420326577,Hold,5.0,Hold,6.0,Hold,6.0,Hold,8.0,Hold,6.0,Hold,8.0,Hold,10.0,Hold,4.0,Hold,4.0,Hold,6.0
3/2/2020,74.54547882,0.4696855534523809,Hold,5.0,Hold,6.0,Hold,6.0,Hold,8.0,Sell,6.0,Sell,8.0,Hold,10.0,Sell,4.0,Hold,4.0,Hold,6.0
4/2/2020,77.00652313,0.719501325319149,Hold,5.0,Hold,6.0,Hold,6.0,Hold,8.0,Hold,6.0,Hold,8.0,Hold,10.0,Hold,4.0,Hold,4.0,Hold,6.0
5/2/2020,77.63445282,0.9695271448333332,Hold,5.0,Hold,6.0,Hold,6.0,Hold,8.0,Buy,6.0,Buy,8.0,Hold,10.0,Buy,4.0,Hold,4.0,Hold,6.0
6/2/2020,78.54251862,0.9174518604285716,Hold,5.0,Hold,6.0,Hold,6.0,Hold,8.0,Hold,6.0,Hold,8.0,Hold,10.0,Hold,4.0,Hold,4.0,Hold,6.0
7/2/2020,77.47492981,0.7858585552039181,Hold,5.0,Hold,6.0,Hold,6.0,Hold,8.0,Hold,6.0,Hold,8.0,Hold,10.0,Hold,4.0,Hold,4.0,Hold,6.0
10/2/2020,77.8429184,0.4466134811043269,Hold,5.0,Hold,6.0,Hold,6.0,Hold,8.0,Hold,6.0,Hold,8.0,Hold,10.0,Hold,4.0,Hold,4.0,Hold,6.0
11/2/2020,77.37324524,0.8117743920547946,Hold,5.0,Hold,6.0,Hold,6.0,Hold,8.0,Hold,6.0,Hold,8.0,Hold,10.0,Hold,4.0,Hold,4.0,Hold,6.0
12/2/2020,79.21069336,0.734242614724359,Hold,5.0,Hold,6.0,Hold,6.0,Hold,8.0,Sell,6.0,Hold,8.0,Hold,10.0,Sell,4.0,Hold,4.0,Hold,6.0
13/2/2020,78.64661407,0.9883713720588236,Buy,5.0,Hold,6.0,Hold,6.0,Hold,8.0,Hold,6.0,Hold,8.0,Hold,10.0,Buy,4.0,Hold,4.0,Hold,6.0
14/2/2020,78.666008,0.7148940043137256,Hold,5.0,Hold,6.0,Hold,6.0,Hold,8.0,Hold,6.0,Hold,8.0,Hold,10.0,Hold,4.0,Hold,4.0,Hold,6.0
18/2/2020,77.2256012,0.0599712407253885,Hold,5.0,Hold,6.0,Hold,6.0,Hold,8.0,Hold,6.0,Hold,8.0,Hold,10.0,Hold,4.0,Hold,4.0,Hold,6.0
