Date,Close,Weighted Sentiment Score,Combi 1: Crossover (Price & EMA 12) + MACD Crossover,Combi 1 Days,Combi 2: Overbought/ Overbought + SMA Crossover (8 & 12),Combi 2 Days,Combi 3: Crossover (Price & EMA 20) + MACD Crossover,Combi 3 Days,Combi 4: Crossover (Price & EMA 12) + EMA Crossover (12 &20),Combi 4 Days,Combi 5: Crossover (Price & EMA 12) + SMA Crossover (12 & 20),Combi 5 Days,Combi 6: Crossover (Price & EMA 50) + MACD Crossover,Combi 6 Days,Combi 7: Crossover (Price & EMA 20) + EMA Crossover (12 &20),Combi 7 Days,Combi 8: Crossover (Price & EMA 12) + SMA Crossover (8 & 12),Combi 8 Days,Combi 9: Crossover (Price & EMA 12) + Crossover (Price & EMA 50),Combi 9 Days,Combi 10: Crossover (Price & EMA 20) + SMA Crossover (12 & 20),Combi 10 Days
2/1/2020,208.64,0.99922005,Hold,8.0,Hold,3.0,Hold,8.0,Hold,4.0,Hold,4.0,Hold,9.0,Hold,7.0,Hold,2.0,Hold,10.0,Hold,7.0
3/1/2020,207.53,0.931715185,Hold,8.0,Hold,3.0,Hold,8.0,Hold,4.0,Hold,4.0,Hold,9.0,Hold,7.0,Hold,2.0,Hold,10.0,Hold,7.0
6/1/2020,211.44,0.9921463108333334,Hold,8.0,Hold,3.0,Hold,8.0,Hold,4.0,Hold,4.0,Hold,9.0,Hold,7.0,Hold,2.0,Hold,10.0,Hold,7.0
7/1/2020,211.9,0.8362489282059375,Hold,8.0,Hold,3.0,Hold,8.0,Hold,4.0,Hold,4.0,Hold,9.0,Hold,7.0,Hold,2.0,Hold,10.0,Hold,7.0
8/1/2020,214.05,0.75397039,Hold,8.0,Hold,3.0,Hold,8.0,Hold,4.0,Hold,4.0,Hold,9.0,Hold,7.0,Hold,2.0,Hold,10.0,Hold,7.0
9/1/2020,217.11,0.550508992366383,Hold,8.0,Hold,3.0,Hold,8.0,Hold,4.0,Hold,4.0,Hold,9.0,Hold,7.0,Hold,2.0,Hold,10.0,Hold,7.0
10/1/2020,216.87,0.2856810687641942,Hold,8.0,Hold,3.0,Hold,8.0,Hold,4.0,Hold,4.0,Hold,9.0,Hold,7.0,Hold,2.0,Hold,10.0,Hold,7.0
13/1/2020,220.7,0.9999955,Hold,8.0,Hold,3.0,Hold,8.0,Hold,4.0,Hold,4.0,Hold,9.0,Hold,7.0,Hold,2.0,Hold,10.0,Hold,7.0
14/1/2020,217.86,0.97398724,Hold,8.0,Hold,3.0,Hold,8.0,Hold,4.0,Hold,4.0,Hold,9.0,Hold,7.0,Hold,2.0,Hold,10.0,Hold,7.0
15/1/2020,219.94,0.9984896125000003,Hold,8.0,Hold,3.0,Hold,8.0,Hold,4.0,Hold,4.0,Hold,9.0,Hold,7.0,Hold,2.0,Hold,10.0,Hold,7.0
