Date,Close,Weighted Sentiment Score,Combi 1: Crossover (Price & EMA 12) + MACD Crossover,Combi 1 Days,Combi 2: Crossover (Price & EMA 12) + EMA Crossover (12 &20),Combi 2 Days,Combi 3: Overbought/ Overbought + SMA Crossover (8 & 12),Combi 3 Days,Combi 4: Crossover (Price & EMA 20) + SMA Crossover (12 & 20),Combi 4 Days,Combi 5: Crossover (Price & EMA 12) + Crossover (Price & EMA 20),Combi 5 Days,Combi 6: Crossover (Price & EMA 12) + SMA Crossover (8 & 12),Combi 6 Days,Combi 7: Crossover (Price & EMA 12) + SMA Crossover (12 & 20),Combi 7 Days,Combi 8: Crossover (Price & EMA 20) + EMA Crossover (12 &20),Combi 8 Days,Combi 9: Crossover (Price & EMA 12) + Crossover (Price & EMA 50),Combi 9 Days,Combi 10: Crossover (Price & EMA 50) + SMA Crossover (8 & 12),Combi 10 Days
2/1/2020,5.97,0.6761239461144558,Hold,10.0,Hold,9.0,Sell,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
3/1/2020,5.88,0.6621408073926022,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
6/1/2020,5.9,0.704148466712372,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
7/1/2020,5.97,0.7246488303999321,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
8/1/2020,5.98,0.6883014543504303,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
9/1/2020,6.05,0.7163932634800066,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
10/1/2020,6.08,0.5484588833816083,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
13/1/2020,6.27,0.4982455637188322,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
14/1/2020,6.16,0.7605923458108442,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
15/1/2020,6.11,0.6432798653148548,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
16/1/2020,6.2,0.7616887702068267,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
17/1/2020,6.2,0.6847101366820824,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
21/1/2020,6.17,0.6665491789943436,Sell,10.0,Hold,9.0,Sell,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
22/1/2020,6.23,0.7522332913930726,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
23/1/2020,6.29,0.5581808336971876,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
24/1/2020,6.23,0.553365897737001,Hold,10.0,Hold,9.0,Sell,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
27/1/2020,5.98,0.6667149410364676,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
28/1/2020,6.17,0.6686556349484057,Hold,10.0,Hold,9.0,Hold,9.0,Sell,8.0,Sell,10.0,Sell,8.0,Sell,8.0,Hold,8.0,Hold,10.0,Hold,10.0
29/1/2020,6.11,0.6309964880967264,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Buy,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
30/1/2020,6.12,0.6666320729814516,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Sell,10.0,Sell,8.0,Sell,8.0,Hold,8.0,Hold,10.0,Hold,10.0
31/1/2020,5.89,0.6851719126141488,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
3/2/2020,5.98,0.6173905823104893,Hold,10.0,Hold,9.0,Hold,9.0,Sell,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
4/2/2020,6.15,0.6780137589045114,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
5/2/2020,6.24,0.63384757624378,Buy,10.0,Hold,9.0,Hold,9.0,Buy,8.0,Buy,10.0,Buy,8.0,Buy,8.0,Hold,8.0,Hold,10.0,Hold,10.0
6/2/2020,6.33,0.8044549227797669,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
7/2/2020,6.26,0.5828163514710039,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
10/2/2020,6.55,0.6745394689118309,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
11/2/2020,6.67,0.6005905686151848,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
12/2/2020,6.78,0.5695628157039268,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
13/2/2020,6.74,0.6184640407126287,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
14/2/2020,7.21,0.5878777393328997,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
18/2/2020,7.38,0.5973240966798095,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
19/2/2020,7.83,0.711310618510791,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
20/2/2020,7.68,0.649093797058357,Hold,10.0,Hold,9.0,Sell,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
21/2/2020,7.32,0.6122177878607055,Hold,10.0,Hold,9.0,Sell,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
24/2/2020,6.8,0.6716623582394293,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
25/2/2020,6.52,0.5284131807950426,Sell,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Sell,10.0,Sell,8.0,Hold,8.0,Hold,8.0,Sell,10.0,Hold,10.0
26/2/2020,6.66,0.5883348784361478,Sell,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Sell,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
27/2/2020,6.29,0.5729705681575962,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Hold,10.0,Hold,10.0
28/2/2020,6.73,0.601873195446071,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Hold,10.0,Hold,8.0,Hold,8.0,Hold,8.0,Sell,10.0,Sell,10.0
2/3/2020,6.88,0.6283982257425494,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Buy,10.0,Sell,8.0,Hold,8.0,Hold,8.0,Buy,10.0,Hold,10.0
3/3/2020,6.62,0.5847118867975107,Hold,10.0,Hold,9.0,Hold,9.0,Hold,8.0,Buy,10.0,Buy,8.0,Hold,8.0,Hold,8.0,Buy,10.0,Hold,10.0
