Date,Close,Weighted Sentiment Score,Combi 1: Crossover (Price & EMA 12) + MACD Crossover,Combi 1 Days,Combi 2: Crossover (Price & EMA 12) + SMA Crossover (8 & 12),Combi 2 Days,Combi 3: Crossover (Price & EMA 12) + EMA Crossover (12 &20),Combi 3 Days,Combi 4: Crossover (Price & EMA 20) + MACD Crossover,Combi 4 Days,Combi 5: Overbought/ Overbought + SMA Crossover (8 & 12),Combi 5 Days,Combi 6: Crossover (Price & EMA 20) + EMA Crossover (12 &20),Combi 6 Days,Combi 7: Crossover (Price & EMA 20) + SMA Crossover (8 & 12),Combi 7 Days,Combi 8: Crossover (Price & EMA 12) + SMA Crossover (12 & 20),Combi 8 Days,Combi 9. Overbought/ Overbought,Combi 9 Days,Combi 10. MACD Crossover + SMA Crossover (12 & 20),Combi 10 Days
2/1/2020,299.41,0.5467125875980405,Hold,10.0,Hold,10.0,Hold,4.0,Hold,10.0,Hold,3.0,Hold,9.0,Hold,9.0,Hold,4.0,Sell,4.0,Hold,10.0
3/1/2020,297.14,0.5281314581408355,Hold,10.0,Hold,10.0,Hold,4.0,Hold,10.0,Hold,3.0,Hold,9.0,Hold,9.0,Hold,4.0,Sell,4.0,Hold,10.0
6/1/2020,298.27,0.5747732468666471,Hold,10.0,Hold,10.0,Hold,4.0,Hold,10.0,Hold,3.0,Hold,9.0,Hold,9.0,Hold,4.0,Sell,4.0,Hold,10.0
7/1/2020,297.43,0.50045362195,Hold,10.0,Hold,10.0,Hold,4.0,Hold,10.0,Hold,3.0,Hold,9.0,Hold,9.0,Hold,4.0,Hold,4.0,Hold,10.0
8/1/2020,299.02,0.990850098,Hold,10.0,Hold,10.0,Hold,4.0,Hold,10.0,Hold,3.0,Hold,9.0,Hold,9.0,Hold,4.0,Sell,4.0,Hold,10.0
9/1/2020,301.05,0.03711718,Hold,10.0,Hold,10.0,Hold,4.0,Hold,10.0,Hold,3.0,Hold,9.0,Hold,9.0,Hold,4.0,Sell,4.0,Hold,10.0
10/1/2020,300.18,0.996265442,Hold,10.0,Hold,10.0,Hold,4.0,Hold,10.0,Hold,3.0,Hold,9.0,Hold,9.0,Hold,4.0,Hold,4.0,Hold,10.0
13/1/2020,302.24,0.997621103125,Hold,10.0,Hold,10.0,Hold,4.0,Hold,10.0,Hold,3.0,Hold,9.0,Hold,9.0,Hold,4.0,Hold,4.0,Hold,10.0
14/1/2020,301.78,0.5784879890167441,Hold,10.0,Hold,10.0,Hold,4.0,Hold,10.0,Hold,3.0,Hold,9.0,Hold,9.0,Hold,4.0,Hold,4.0,Hold,10.0
15/1/2020,302.47,0.5082662246153847,Hold,10.0,Hold,10.0,Hold,4.0,Hold,10.0,Hold,3.0,Hold,9.0,Hold,9.0,Hold,4.0,Hold,4.0,Hold,10.0
