Date,Close,Combi 1: Crossover (Price & EMA 12) + MACD Crossover,Combi 2: Crossover (Price & EMA 12) + EMA Crossover (12 &20),Combi 3: Overbought/ Overbought + SMA Crossover (8 & 12),Combi 4: Crossover (Price & EMA 20) + SMA Crossover (12 & 20),Combi 5: Crossover (Price & EMA 12) + Crossover (Price & EMA 20),Combi 6: Crossover (Price & EMA 12) + SMA Crossover (8 & 12),Combi 7: Crossover (Price & EMA 12) + SMA Crossover (12 & 20),Combi 8: Crossover (Price & EMA 20) + EMA Crossover (12 &20),Combi 9: Crossover (Price & EMA 12) + Crossover (Price & EMA 50),Combi 10: Crossover (Price & EMA 50) + SMA Crossover (8 & 12),News Sentiment Score,Social Sentiment Score
2/1/2020,5.97,Hold,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,Hold,1.41343355e-06,0.7100512416611682
3/1/2020,5.88,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,,0.6621408073926023
6/1/2020,5.9,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,,0.7041484667123717
7/1/2020,5.97,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.9999926,0.719959277146403
8/1/2020,5.98,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3104641,0.6965408982147697
9/1/2020,6.05,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,,0.7163932634800061
10/1/2020,6.08,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.0375752305343243,0.5835195262240689
13/1/2020,6.27,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.1112219854621293,0.5792507443061753
14/1/2020,6.16,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,,0.7605923458108442
15/1/2020,6.11,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,5.658269e-07,0.6587539378111288
16/1/2020,6.2,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.663067165,0.7672337600578129
