Date,Close,"Combi1:
Crossover (Price & EMA 20) + SMA Crossover (12 & 20)","Combi2:
Crossover (Price & EMA 12) + SMA Crossover (12 & 20)","Combi3:
Crossover (Price & EMA 20) + EMA Crossover (12 &20)","Combi4:
Overbought/ Overbought + SMA Crossover (8 & 12)","Combi5:
Crossover (Price & EMA 20) + Crossover (Price & EMA 50)","Combi6: 
Crossover (Price & EMA 12) + EMA Crossover (12 &20)","Combi7:
Crossover (Price & EMA 12) + Crossover (Price & EMA 20)","Combi8:
Crossover (Price & EMA 12) + SMA Crossover (8 & 12)","Combi9:
Crossover (Price & EMA 20) + SMA Crossover (8 & 12)","Combi10:
Crossover (Price & EMA 12) +Crossover (Price & EMA 50)",News Sentiment Score,Social Sentiment Score
2/1/2020,28.68400002,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.52884577051,0.6411897881228932
3/1/2020,29.5340004,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.209126958994502,0.5535948583597717
6/1/2020,30.10266685,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.52133081068073,0.60025952249788
7/1/2020,31.27066612,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.2730121681603473,0.7243119284156198
8/1/2020,32.8093338,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.7927945042341076,0.7841514863845145
9/1/2020,32.08933258,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.1543171860454545,0.6281522210602569
10/1/2020,31.87666702,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.06655211475,0.8010276879372416
13/1/2020,34.99066544,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.1470843632222146,0.7457304992604779
14/1/2020,35.86133194,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.7786167267302329,0.7536770935380693
15/1/2020,34.56666565,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.7306995083333333,0.8561046371410151
16/1/2020,34.23266602,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.2641040048083333,0.7340794937393093
17/1/2020,34.03333282,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3055952383900909,0.7258865252604999
21/1/2020,36.47999954,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.6769939732,0.7499664516790704
22/1/2020,37.97066879,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.473026073477658,0.750181908117482
23/1/2020,38.14666748,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.6220852033918829,0.7396470506328835
24/1/2020,37.6546669,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.6278444285583333,0.6727494542602932
27/1/2020,37.20133209,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.84650693,0.6472290307456411
28/1/2020,37.79333115,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.62668014745,0.7616935474380538
29/1/2020,38.73266602,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3923833457689537,0.7606350167881933
30/1/2020,42.72066879,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.1446793798504371,0.7400489118916294
31/1/2020,43.37133408,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.514328390925,0.7779054327653998
3/2/2020,52.0,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.0632088362547735,0.8533753734473577
4/2/2020,59.13733292,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3572669957135836,0.8236364754902816
5/2/2020,48.97999954,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.2497987492134329,0.8667226212029581
6/2/2020,49.93066788,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3339142269473684,0.7870433646109352
7/2/2020,49.87133408,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.1652101254166667,0.8338300512986275
10/2/2020,51.41866684,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.73026341,0.8268191601136986
11/2/2020,51.62533188,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5254713183766917,0.7465446170854799
12/2/2020,51.152668,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,-0.4384992113333333,0.7263256744202937
13/2/2020,53.59999847,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.4350062954519667,0.7803326808731315
14/2/2020,53.33533478,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5597901862042,0.8253013515178643
18/2/2020,57.2266655,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.37624728358419,0.763363594998781
19/2/2020,61.16133118,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.5189805633848225,0.7714325622986676
20/2/2020,59.96066666,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.647771726851875,0.8841313198274388
21/2/2020,60.06666565,Hold,Hold,Hold,Sell,Hold,Hold,Hold,Hold,Hold,Hold,0.399805871516367,0.8653424003896775
24/2/2020,55.58599854,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.3834106798869391,0.8620035110000001
25/2/2020,53.32733154,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,Hold,0.0571815126,0.7838101665690121
26/2/2020,51.91999817,Hold,Hold,Hold,Hold,Hold,Hold,Sell,Sell,Hold,Hold,0.7555581738333333,0.7839120766166724
