Stock,Horizon,BestThreshold,AblationConfig,Model,Train_Accuracy,Train_ROC_AUC,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,WinRate,Sharpe,TotalReturn
AAPL,4,0.005,equal_weights,LSTM,0.5614754098360656,0.6001478600202468,0.5113122171945701,0.5158138764696143,55,55,0,0.6363636363636364,1.3047326174038643,0.30089970944396915
AAPL,5,0.005,equal_weights,LightGBM,0.6371769383697813,0.6788859898798228,0.5219123505976095,0.5437062937062936,50,32,18,0.4,-0.346064554095453,-0.11415485010159776
AAPL,6,0.0075,equal_weights,LSTM,0.6413934426229508,0.6993363575268817,0.502262443438914,0.5086814086814087,36,2,34,0.4444444444444444,-1.5681246485537574,-0.27643187306984307
AAPL,8,0.01,equal_weights,LSTM,0.5870901639344263,0.6974361882677151,0.47058823529411764,0.5236924085915724,27,27,0,0.6296296296296297,1.447276078302315,0.35414391079666374
AAPL,10,0.0125,equal_weights,LSTM,0.5604508196721312,0.6498903564046983,0.5610859728506787,0.6500737463126844,22,20,2,0.5,0.8955918513321207,0.1906877351554166
META,2,0.0025,equal_weights,LogisticRegression,0.5099403578528827,0.5301648662215951,0.450199203187251,0.6215210978581506,125,0,125,0.408,-1.778811062782762,-0.48512024290081157
META,3,0.0025,equal_weights,LogisticRegression,0.5019880715705766,0.5292817810596387,0.4541832669322709,0.6245998207196825,83,0,83,0.3493975903614458,-1.7929293755013551,-0.47069942154727873
META,4,0.005,equal_weights,SVM,0.5099403578528827,0.5449426877470356,0.4581673306772908,0.6276854219948849,62,0,62,0.4032258064516129,-1.9036904459888522,-0.46262866256128765
META,7,0.01,equal_weights,SVM,0.5646123260437376,0.5844051478767582,0.4581673306772908,0.6699488491048593,35,0,35,0.34285714285714286,-1.7079865749536804,-0.43084021047522214
META,8,0.0125,equal_weights,SVM,0.5298210735586482,0.5719890059913393,0.47410358565737054,0.7224344283167813,31,0,31,0.3548387096774194,-1.7421670607115909,-0.44570065792266733
META,9,0.0125,equal_weights,SVM,0.536779324055666,0.5687498022840151,0.47410358565737054,0.7403870639164757,27,0,27,0.3333333333333333,-1.5599032166728786,-0.43773719717122117
META,10,0.015,equal_weights,SVM,0.5417495029821073,0.5802968320784174,0.4900398406374502,0.7057926829268293,25,0,25,0.32,-1.4442458786378163,-0.43094139494727224
NVDA,8,0.0225,equal_weights,LogisticRegression,0.5397614314115308,0.5687476487476488,0.44621513944223107,0.7614979445015416,31,0,31,0.22580645161290322,-2.124461527141745,-0.6663603400568665
NVDA,9,0.0275,equal_weights,SVM,0.525844930417495,0.5740314082237766,0.44621513944223107,0.7586073997944502,27,0,27,0.37037037037037035,-1.6723794385532114,-0.6363821037131696
NVDA,10,0.0275,equal_weights,SVM,0.5218687872763419,0.5774408977141976,0.46613545816733065,0.7613215971424926,25,0,25,0.32,-1.760841775644853,-0.6583939415032531
SPY,3,0.0025,equal_weights,SVM,0.5576540755467196,0.5727209767101332,0.450199203187251,0.6046556367833782,83,0,83,0.3855421686746988,-2.5681177349518554,-0.2782106509926425
SPY,4,0.005,equal_weights,SVM,0.5228628230616302,0.5915959870877904,0.5378486055776892,0.5876117496807152,62,0,62,0.3548387096774194,-2.4286663040557253,-0.270641304389021
SPY,9,0.01,equal_weights,SVM,0.5745526838966203,0.6077863272220638,0.4820717131474104,0.7148124602670057,27,0,27,0.25925925925925924,-2.0535945747133035,-0.22263196987861278
SPY,10,0.01,equal_weights,LogisticRegression,0.5834990059642147,0.6068350727387729,0.4581673306772908,0.7143222506393861,25,0,25,0.32,-1.85595190640685,-0.2262568093023376
TSLA,9,0.02,equal_weights,XGBoost,0.6312127236580517,0.6828800082243021,0.5059760956175299,0.5251688543392379,27,24,3,0.6666666666666666,2.281375336903341,2.370917509515776
TSLA,10,0.02,equal_weights,RandomForest,0.6461232604373758,0.7365983721582936,0.5099601593625498,0.5252701843610934,25,22,3,0.6,2.1430015742020614,2.309098669531892
