Stock,Horizon,BestThreshold,AblationConfig,Model,Train_Accuracy,Train_ROC_AUC,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,WinRate,Sharpe,TotalReturn
AAPL,4,0.005,news_only,LightGBM,0.6381709741550696,0.6849094288878341,0.4541832669322709,0.5390674830973339,62,40,22,0.5806451612903226,1.2599997771620075,0.2755353613527727
AAPL,5,0.005,news_only,LightGBM,0.6491053677932406,0.71782495256167,0.4940239043824701,0.5667832167832169,50,36,14,0.38,-0.23235053177013756,-0.08780051649670939
AAPL,6,0.0075,news_only,XGBoost,0.7276341948310139,0.8164013550853253,0.5059760956175299,0.5056211890243902,41,31,10,0.43902439024390244,-0.06796030915818388,-0.03499283560414246
AAPL,8,0.01,news_only,LogisticRegression,0.5675944333996024,0.5880131895242915,0.5378486055776892,0.5159003831417625,31,0,31,0.45161290322580644,-1.7404529081227598,-0.3085735430836618
AAPL,10,0.0125,news_only,SVM,0.5785288270377733,0.6110023918243097,0.5139442231075697,0.5175371711780404,25,0,25,0.4,-1.4835886346464648,-0.2856003338233628
META,2,0.0025,news_only,LogisticRegression,0.5188866799204771,0.5329712679797465,0.450199203187251,0.6086315249454918,125,0,125,0.408,-1.778811062782762,-0.48512024290081157
META,3,0.0025,news_only,LogisticRegression,0.5049701789264414,0.5304736078553838,0.4541832669322709,0.6329875784351389,83,0,83,0.3493975903614458,-1.7929293755013551,-0.47069942154727873
META,4,0.005,news_only,LogisticRegression,0.5029821073558648,0.536808300395257,0.4581673306772908,0.6255754475703325,62,0,62,0.4032258064516129,-1.9036904459888522,-0.46262866256128765
META,7,0.01,news_only,LogisticRegression,0.5337972166998012,0.5794172020791025,0.4581673306772908,0.7225063938618925,35,0,35,0.34285714285714286,-1.7079865749536804,-0.43084021047522214
META,8,0.0125,news_only,SVM,0.547713717693837,0.575902161232278,0.47410358565737054,0.7233256939139292,31,0,31,0.3548387096774194,-1.7421670607115909,-0.44570065792266733
META,9,0.0125,news_only,SVM,0.510934393638171,0.561995824238398,0.47410358565737054,0.7371403106697224,27,0,27,0.3333333333333333,-1.5599032166728786,-0.43773719717122117
META,10,0.015,news_only,SVM,0.5168986083499006,0.5783284915317879,0.4900398406374502,0.773119918699187,25,0,25,0.32,-1.4442458786378163,-0.43094139494727224
NVDA,8,0.0225,news_only,SVM,0.558648111332008,0.5808454608454608,0.44621513944223107,0.7603417266187051,31,0,31,0.22580645161290322,-2.124461527141745,-0.6663603400568665
NVDA,9,0.0275,news_only,LogisticRegression,0.5487077534791253,0.5741600655558591,0.44621513944223107,0.7552672147995888,27,0,27,0.37037037037037035,-1.6723794385532114,-0.6363821037131696
NVDA,10,0.0275,news_only,LogisticRegression,0.5566600397614314,0.5761360805665279,0.46613545816733065,0.7652123995407577,25,0,25,0.32,-1.760841775644853,-0.6583939415032531
SPY,3,0.0025,news_only,SVM,0.5596421471172962,0.5747828323802363,0.450199203187251,0.6039823008849557,83,0,83,0.3855421686746988,-2.5681177349518554,-0.2782106509926425
SPY,4,0.005,news_only,LogisticRegression,0.5735586481113321,0.6002911576682068,0.5378486055776892,0.5896871008939975,62,0,62,0.3548387096774194,-2.4286663040557253,-0.270641304389021
SPY,9,0.01,news_only,SVM,0.5775347912524851,0.6069670054779773,0.4820717131474104,0.709631277813096,27,0,27,0.25925925925925924,-2.0535945747133035,-0.22263196987861278
SPY,10,0.01,news_only,SVM,0.5755467196819085,0.607121679316888,0.4581673306772908,0.7118606138107415,25,0,25,0.32,-1.85595190640685,-0.2262568093023376
TSLA,9,0.02,news_only,RandomForest,0.643141153081511,0.7222914170709622,0.49800796812749004,0.5207404103479036,27,24,3,0.5925925925925926,1.794270418911972,1.5700239295264802
TSLA,10,0.02,news_only,SVM,0.6063618290258449,0.680894799049701,0.5099601593625498,0.5062937062937063,25,12,13,0.6,1.5334436006282886,1.1514240096394723
