Stock,Horizon,BestThreshold,AblationConfig,Model,Train_Accuracy,Train_ROC_AUC,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,WinRate,Sharpe,TotalReturn
AAPL,4,0.005,sentiment_only,LSTM,0.4969262295081967,0.5070464540898838,0.4524886877828054,0.5095214439476734,55,8,47,0.4727272727272727,-0.3014539662033513,-0.0871803867244328
AAPL,5,0.005,sentiment_only,LSTM,0.5512295081967213,0.5511676934641924,0.5746606334841629,0.5913872452333991,44,37,7,0.5681818181818182,1.233760749723393,0.2994185775119906
AAPL,6,0.0075,sentiment_only,XGBoost,0.5497017892644135,0.5833053329801996,0.4900398406374502,0.4961572662601626,41,22,19,0.4878048780487805,-0.935711769514824,-0.189746296885057
AAPL,8,0.01,sentiment_only,LSTM,0.576844262295082,0.6097528188066073,0.4751131221719457,0.5940318084931956,27,27,0,0.6296296296296297,1.447276078302315,0.3541439107966637
AAPL,10,0.0125,sentiment_only,LSTM,0.5594262295081968,0.5750281460570315,0.4570135746606334,0.5837430350704687,22,5,17,0.3636363636363636,-1.462514295843663,-0.2823089839921263
META,2,0.0025,sentiment_only,LightGBM,0.643141153081511,0.7058673560138027,0.549800796812749,0.5462036680774657,125,72,53,0.496,-0.1883987570675135,-0.1169711403465069
META,3,0.0025,sentiment_only,LSTM,0.5051229508196722,0.5077356279843271,0.5158371040723982,0.5272995573044762,73,73,0,0.6027397260273972,0.7430723914052608,0.1825860157880321
META,4,0.005,sentiment_only,SVM,0.4970178926441352,0.4706541501976284,0.5219123505976095,0.5723145780051151,62,54,8,0.5483870967741935,0.9580563242466194,0.2899052797594807
META,7,0.01,sentiment_only,LSTM,0.4795081967213114,0.5263056060300154,0.497737556561086,0.5253071253071254,31,31,0,0.6129032258064516,0.9466561023955258,0.2496504903168213
META,8,0.0125,sentiment_only,SVM,0.4880715705765407,0.4862317837581318,0.5219123505976095,0.5460275019098549,31,11,20,0.4516129032258064,0.0053634871501673,-0.0508923958314894
META,9,0.0125,sentiment_only,LightGBM,0.5506958250497018,0.5686865331688336,0.4820717131474104,0.4968805704099822,27,10,17,0.4814814814814814,-0.6833323911490501,-0.2564649547752957
META,10,0.015,sentiment_only,SVM,0.5019880715705766,0.4998656153040454,0.4900398406374502,0.517848069105691,25,0,25,0.32,-1.4442458786378165,-0.4309413949472722
NVDA,8,0.0225,sentiment_only,LSTM,0.639344262295082,0.702161065463362,0.5882352941176471,0.6090909090909091,27,26,1,0.6296296296296297,1.9615107570097232,1.253793365461101
NVDA,9,0.0275,sentiment_only,LSTM,0.5225409836065574,0.5005068477017296,0.497737556561086,0.5540540540540541,24,0,24,0.3333333333333333,-1.339255497024575,-0.4835809163570367
NVDA,10,0.0275,sentiment_only,LSTM,0.5983606557377049,0.6745986732374603,0.579185520361991,0.7172272354388843,22,22,0,0.6363636363636364,1.4496820319802275,0.8204576264814287
SPY,3,0.0025,sentiment_only,GradientBoosting,1.0,1.0,0.50199203187251,0.5151981531358214,83,41,42,0.4939759036144578,-0.6965003392421223,-0.0919184682188163
SPY,4,0.005,sentiment_only,GradientBoosting,0.9473161033797216,0.9899815652889424,0.5258964143426295,0.5419859514687101,62,27,35,0.5161290322580645,0.5413553389797836,0.0635871073075051
SPY,9,0.01,sentiment_only,LogisticRegression,0.478131212723658,0.4938095690446788,0.5418326693227091,0.5495867768595042,27,13,14,0.5925925925925926,1.7019903616241778,0.2182540404280597
SPY,10,0.01,sentiment_only,SVM,0.5069582504970179,0.4916548070841239,0.4581673306772908,0.5818414322250639,25,0,25,0.32,-1.85595190640685,-0.2262568093023376
TSLA,9,0.02,sentiment_only,LSTM,0.5327868852459017,0.6081044763584446,0.497737556561086,0.6286861074705112,24,12,12,0.5,-0.5203848835963281,-0.405084896215776
TSLA,10,0.02,sentiment_only,LogisticRegression,0.5208747514910537,0.5099714198748484,0.5298804780876494,0.5875397329942784,25,19,6,0.48,0.0968730517296618,-0.1433689003039421
