Stock,Horizon,BestThreshold,AblationConfig,Model,Train_Accuracy,Train_ROC_AUC,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,WinRate,Sharpe,TotalReturn
AAPL,4,0.005,social_only,LightGBM,0.5874751491053678,0.6306676158835628,0.549800796812749,0.5429582854955988,62,30,32,0.4838709677419355,0.3271708974774958,0.0487819113874932
AAPL,5,0.005,social_only,XGBoost,0.7147117296222664,0.8041686432637571,0.5219123505976095,0.547361729179911,50,30,20,0.56,0.7075012157509001,0.1593871037091871
AAPL,6,0.0075,social_only,LightGBM,0.8399602385685885,0.9154534278361725,0.4860557768924303,0.5246760670731707,41,25,16,0.5609756097560976,0.349225576402997,0.0517966066362527
AAPL,8,0.01,social_only,XGBoost,0.8697813121272365,0.9422661785172064,0.4900398406374502,0.4938378033205619,31,22,9,0.5483870967741935,0.314182102276088,0.0446525592519877
AAPL,10,0.0125,social_only,LSTM,0.6680327868852459,0.7782804859605787,0.497737556561086,0.5493280891510981,22,4,18,0.5,-0.6663896496214454,-0.1550103786579713
META,2,0.0025,social_only,SVM,0.5268389662027833,0.5274493760696937,0.450199203187251,0.6215210978581506,125,0,125,0.408,-1.778811062782762,-0.4851202429008115
META,3,0.0025,social_only,GradientBoosting,0.705765407554672,0.808009155127227,0.4541832669322709,0.5575617876808809,83,0,83,0.3493975903614458,-1.7929293755013551,-0.4706994215472787
META,4,0.005,social_only,LSTM,0.5461065573770492,0.5687193442182356,0.502262443438914,0.557002457002457,55,55,0,0.509090909090909,0.7588677026947693,0.18686413831239168
META,7,0.01,social_only,SVM,0.5556660039761432,0.5867546286949397,0.4581673306772908,0.6280051150895141,35,0,35,0.3428571428571428,-1.7079865749536804,-0.4308402104752221
META,8,0.0125,social_only,SVM,0.5467196819085487,0.5796294465426215,0.4741035856573705,0.7088107970460911,31,0,31,0.3548387096774194,-1.7421670607115909,-0.4457006579226673
META,9,0.0125,social_only,SVM,0.5427435387673957,0.5699262123944197,0.4741035856573705,0.7364400305576776,27,0,27,0.3333333333333333,-1.5599032166728786,-0.4377371971712211
META,10,0.015,social_only,SVM,0.5536779324055666,0.5995988221576649,0.4900398406374502,0.7720401422764228,25,0,25,0.32,-1.4442458786378165,-0.4309413949472722
NVDA,8,0.0225,social_only,SVM,0.5397614314115308,0.5811266211266212,0.446215139442231,0.7585431654676259,31,0,31,0.2258064516129032,-2.124461527141745,-0.6663603400568665
NVDA,9,0.0275,social_only,SVM,0.5318091451292246,0.5825010193619388,0.446215139442231,0.7588001027749229,27,0,27,0.3703703703703703,-1.6723794385532114,-0.6363821037131696
NVDA,10,0.0275,social_only,SVM,0.5318091451292246,0.5795800070381047,0.4661354581673306,0.7620232172470979,25,0,25,0.32,-1.760841775644853,-0.6583939415032531
SPY,3,0.0025,social_only,SVM,0.562624254473161,0.5727565941785226,0.450199203187251,0.6040143644991663,83,0,83,0.3855421686746988,-2.568117734951856,-0.2782106509926425
SPY,4,0.005,social_only,LogisticRegression,0.5735586481113321,0.6007500474713589,0.5378486055776892,0.5875478927203065,62,0,62,0.3548387096774194,-2.4286663040557253,-0.270641304389021
SPY,9,0.01,social_only,SVM,0.5238568588469185,0.6058943668661537,0.4820717131474104,0.7167196439923713,27,0,27,0.2592592592592592,-2.0535945747133035,-0.2226319698786127
SPY,10,0.01,social_only,SVM,0.536779324055666,0.6082147375079063,0.4581673306772908,0.717391304347826,25,0,25,0.32,-1.85595190640685,-0.2262568093023376
TSLA,9,0.02,social_only,LogisticRegression,0.5974155069582505,0.6653302175881444,0.5298804780876494,0.5147827195106409,27,12,15,0.6666666666666666,1.6704366144653382,1.235879598623388
TSLA,10,0.02,social_only,LogisticRegression,0.6163021868787276,0.681610290426251,0.5258964143426295,0.4993642720915448,25,10,15,0.6,2.458455161323716,3.005790338857614
