Stock,Horizon,BestThreshold,AblationConfig,Model,Train_Accuracy,Train_ROC_AUC,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,WinRate,Sharpe,TotalReturn
AAPL,4,0.005,technical_only,LSTM,0.5450819672131147,0.57079848611502,0.4479638009049774,0.508113926146713,55,0,55,0.3636363636363636,-1.609474405634215,-0.3114113052674987
AAPL,5,0.005,technical_only,XGBoost,0.5934393638170974,0.6402533997469956,0.4820717131474104,0.5347107438016528,50,0,50,0.4,-1.3341734551118458,-0.3032476396978322
AAPL,6,0.0075,technical_only,XGBoost,0.6361829025844931,0.675479201337692,0.5179282868525896,0.506129319105691,41,31,10,0.4634146341463415,-0.8471772133334387,-0.1757902544872761
AAPL,8,0.01,technical_only,LSTM,0.5368852459016393,0.5919556888642435,0.5158371040723982,0.5502951303492376,27,0,27,0.3703703703703703,-1.4482002390629425,-0.3003649748299154
AAPL,10,0.0125,technical_only,LSTM,0.4897540983606557,0.6193056745811698,0.4886877828054298,0.5451491314323174,22,0,22,0.4090909090909091,-1.5193787488056094,-0.2882970324071918
META,2,0.0025,technical_only,LogisticRegression,0.5119284294234593,0.5302340380959156,0.450199203187251,0.6222264973707837,125,0,125,0.408,-1.778811062782762,-0.4851202429008115
META,3,0.0025,technical_only,LogisticRegression,0.5,0.5314756910816569,0.4541832669322709,0.636221027020105,83,0,83,0.3493975903614458,-1.7929293755013551,-0.4706994215472787
META,4,0.005,technical_only,LogisticRegression,0.5029821073558648,0.5385790513833992,0.4581673306772908,0.6373721227621483,62,0,62,0.4032258064516129,-1.903690445988852,-0.4626286625612876
META,7,0.01,technical_only,LogisticRegression,0.5278330019880716,0.5804900062943125,0.4581673306772908,0.7204603580562658,35,0,35,0.3428571428571428,-1.7079865749536804,-0.4308402104752221
META,8,0.0125,technical_only,LogisticRegression,0.5198807157057654,0.5733256876198762,0.4741035856573705,0.7288006111535523,31,0,31,0.3548387096774194,-1.7421670607115909,-0.4457006579226673
META,9,0.0125,technical_only,LogisticRegression,0.5129224652087475,0.5630634905570846,0.4741035856573705,0.7465940921823275,27,0,27,0.3333333333333333,-1.5599032166728786,-0.4377371971712211
META,10,0.015,technical_only,LogisticRegression,0.5218687872763419,0.5783383727594316,0.4900398406374502,0.771309705284553,25,0,25,0.32,-1.4442458786378165,-0.4309413949472722
NVDA,8,0.0225,technical_only,LogisticRegression,0.532803180914513,0.578916938916939,0.446215139442231,0.758832219938335,31,0,31,0.2258064516129032,-2.124461527141745,-0.6663603400568665
NVDA,9,0.0275,technical_only,LSTM,0.4684931506849315,0.5730425803316529,0.4027777777777778,0.8869286287089013,7,0,7,0.4285714285714285,-0.2353544166820344,-0.4324031396053768
NVDA,10,0.0275,technical_only,LogisticRegression,0.5848101265822785,0.6497010698552549,0.3529411764705882,0.8089225589225589,10,0,10,0.2,-0.2423820968852355,-0.5793110698569075
SPY,3,0.0025,technical_only,LogisticRegression,0.5497017892644135,0.5731167263589054,0.450199203187251,0.6046235731691677,83,0,83,0.3855421686746988,-2.568117734951856,-0.2782106509926425
SPY,4,0.005,technical_only,LogisticRegression,0.5725646123260437,0.6007540034179379,0.5378486055776892,0.5872605363984674,62,0,62,0.3548387096774194,-2.4286663040557253,-0.270641304389021
SPY,9,0.01,technical_only,LogisticRegression,0.5825049701789264,0.6077210189671004,0.4820717131474104,0.7145899554990465,27,0,27,0.2592592592592592,-2.0535945747133035,-0.2226319698786127
SPY,10,0.01,technical_only,LogisticRegression,0.5825049701789264,0.6091793168880455,0.4581673306772908,0.7168478260869566,25,0,25,0.32,-1.85595190640685,-0.2262568093023376
TSLA,9,0.02,technical_only,SVM,0.5646123260437376,0.6631772692944893,0.5537848605577689,0.5339620237033262,27,0,27,0.4444444444444444,-0.6856079918779535,-0.4506188428707537
TSLA,10,0.02,technical_only,LogisticRegression,0.6043737574552683,0.6813988054061104,0.5139442231075697,0.5091544818817546,25,12,13,0.52,0.9075116338909992,0.4592067397708812
