Stock,Horizon,BestThreshold,Model,ContextLength,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,WinRate,Sharpe,TotalReturn
AAPL,2,0.0025,FinCast,128,0.4899598393574297,0.5193573364305072,125,47,78,0.448,-0.509390708154185,-0.1370181173839985
AAPL,3,0.0025,FinCast,128,0.4637096774193548,0.5196329072435266,83,39,44,0.5301204819277109,0.8612667895514932,0.17727555514029203
AAPL,4,0.005,FinCast,128,0.4574898785425101,0.44498745211993135,62,27,35,0.5645161290322581,0.22260191576760638,0.02469103123729033
AAPL,5,0.005,FinCast,128,0.483739837398374,0.4872679045092838,50,21,29,0.4,0.36751493942550445,0.06384955184943597
AAPL,6,0.0075,FinCast,128,0.4816326530612245,0.4267626282820206,41,10,31,0.4634146341463415,-0.8008289310766935,-0.16974062538948465
AAPL,7,0.01,FinCast,128,0.5204918032786885,0.4416937229437229,35,8,27,0.4,-1.5427218121696995,-0.29931407767404195
AAPL,8,0.015,FinCast,128,0.5308641975308642,0.4881297446514838,31,5,26,0.4838709677419355,-1.2031005085955777,-0.23519576176144885
AAPL,9,0.0175,FinCast,128,0.5578512396694215,0.5044998269297335,27,3,24,0.4074074074074074,-1.3254602665770236,-0.24789814779822483
AAPL,10,0.017,FinCast,128,0.5435684647302904,0.5024366471734893,25,4,21,0.44,-1.2651600050873464,-0.25417152771398743
META,2,0.0025,FinCast,128,0.5060240963855421,0.5092701397049223,125,49,76,0.456,-1.810197860168801,-0.4876387938448382
META,3,0.0025,FinCast,128,0.5725806451612904,0.5805878871572301,83,33,50,0.46987951807228917,-1.8882686376445337,-0.4785543389241804
META,4,0.005,FinCast,128,0.5101214574898786,0.5423622151563329,62,21,41,0.4032258064516129,-1.5068470541157475,-0.3973909669253919
META,5,0.005,FinCast,128,0.5040650406504065,0.5034722222222222,50,17,33,0.4,-1.7240074719455674,-0.46682930696189295
META,6,0.0075,FinCast,128,0.4448979591836735,0.4750576896972988,41,11,30,0.34146341463414637,-1.5018922024407741,-0.3887004760540914
META,7,0.01,FinCast,128,0.42213114754098363,0.48328567538126366,35,5,30,0.42857142857142855,-0.8703705754467008,-0.27395687683448766
META,8,0.015,FinCast,128,0.45267489711934156,0.5125255275697753,31,4,27,0.3548387096774194,-1.473132972032172,-0.4021951614330641
