Stock,Horizon,BestThreshold,Model,ContextLength,UseCovariates,Strategy,ConfidenceThreshold,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,Skipped,WinRate,Sharpe,TotalReturn,ModelType,Mode,FineTuneLR,FineTuneSteps
AAPL,2,0.0025,,,False,long_short,,0.4417670682730923,0.4175377468060395,125,62,63,0,0.456,-0.0261538717246839,-0.0330305673593875,finetuned,Fine-tuned,0.0001,1000.0
AAPL,3,0.0025,,,False,long_short,,0.4879032258064516,0.4296951819075713,83,54,29,0,0.5301204819277109,0.9116899937040082,0.1904338490456774,finetuned,Fine-tuned,0.0001,1000.0
AAPL,4,0.005,,,False,long_short,,0.3967611336032389,0.3574164575353322,62,40,22,0,0.5806451612903226,0.3956053041140764,0.0626868766043167,finetuned,Fine-tuned,0.0001,1000.0
AAPL,5,0.005,,,False,long_short,,0.4715447154471545,0.4390583554376657,50,36,14,0,0.46,0.7034670659650868,0.1589031555171443,finetuned,Fine-tuned,0.0001,1000.0
AAPL,6,0.0075,,,False,long_short,,0.4122448979591837,0.373583899773424,41,24,17,0,0.5121951219512195,0.6012270563349137,0.1080837498913862,finetuned,Fine-tuned,0.0001,1000.0
AAPL,7,0.01,,,False,long_short,,0.4549180327868852,0.4032738095238095,35,20,15,0,0.4,-0.5136865731448487,-0.130816512326464,finetuned,Fine-tuned,0.0001,1000.0
AAPL,8,0.015,,,False,long_short,,0.4650205761316872,0.4204968944099378,31,15,16,0,0.4516129032258064,-0.623002284231937,-0.1425416142963295,finetuned,Fine-tuned,0.0001,1000.0
AAPL,9,0.0175,,,False,long_short,,0.5082644628099173,0.4418137763932157,27,9,18,0,0.4814814814814814,-0.4625674534133322,-0.1092689511146026,finetuned,Fine-tuned,0.0001,1000.0
AAPL,10,0.017,,,False,long_short,,0.5020746887966805,0.4397800055694792,25,9,16,0,0.52,0.5206361857064845,0.0942606308109219,finetuned,Fine-tuned,0.0001,1000.0
META,2,0.0025,,,False,long_short,,0.4899598393574297,0.5197153675414545,125,52,73,0,0.464,-0.4252521871674297,-0.1854568840158049,finetuned,Fine-tuned,0.0001,1000.0
META,3,0.0025,,,False,long_short,,0.4959677419354839,0.5476425330439928,83,39,44,0,0.5421686746987951,0.3527068078222716,0.0654108825804948,finetuned,Fine-tuned,0.0001,1000.0
META,4,0.005,,,False,long_short,,0.5060728744939271,0.4974827768945415,62,25,37,0,0.4677419354838709,-0.3798007220203534,-0.1539718000068153,finetuned,Fine-tuned,0.0001,1000.0
META,5,0.005,,,False,long_short,,0.4715447154471545,0.4638480392156863,50,18,32,0,0.34,-1.3866350502972733,-0.4144070428963528,finetuned,Fine-tuned,0.0001,1000.0
META,6,0.0075,,,False,long_short,,0.4571428571428571,0.474073571331614,41,11,30,0,0.3658536585365853,-1.9993885817765509,-0.4626400238949192,finetuned,Fine-tuned,0.0001,1000.0
META,7,0.01,,,False,long_short,,0.4508196721311475,0.4624863834422658,35,7,28,0,0.4,-1.1773525427536964,-0.337109906056141,finetuned,Fine-tuned,0.0001,1000.0
META,8,0.015,,,False,long_short,,0.448559670781893,0.4699115044247788,31,3,28,0,0.3225806451612903,-3.0203165161094283,-0.5924390679857363,finetuned,Fine-tuned,0.0001,1000.0
META,9,0.0175,,,False,long_short,,0.4669421487603306,0.4507927829414981,27,2,25,0,0.4074074074074074,-0.8015423217378707,-0.2849486645075374,finetuned,Fine-tuned,0.0001,1000.0
META,10,0.017,,,False,long_short,,0.4813278008298755,0.4614906832298136,25,3,22,0,0.28,-2.6373206547071755,-0.5866102538933126,finetuned,Fine-tuned,0.0001,1000.0
NVDA,2,0.0025,,,False,long_short,,0.4979919678714859,0.4863352420614263,125,65,60,0,0.536,0.03618151028043,-0.1000478091896912,finetuned,Fine-tuned,0.0001,1000.0
NVDA,3,0.0025,,,False,long_short,,0.532258064516129,0.5006993006993007,83,52,31,0,0.4939759036144578,0.0254789943190021,-0.1226918311220557,finetuned,Fine-tuned,0.0001,1000.0
NVDA,4,0.005,,,False,long_short,,0.4898785425101215,0.4867853290183387,62,37,25,0,0.5645161290322581,1.864592927810584,1.2447077746475483,finetuned,Fine-tuned,0.0001,1000.0
NVDA,5,0.005,,,False,long_short,,0.5,0.4498910675381263,50,30,20,0,0.58,0.1471727499061256,-0.07420544050441,finetuned,Fine-tuned,0.0001,1000.0
NVDA,6,0.0075,,,False,long_short,,0.5102040816326531,0.4300350877192982,41,26,15,0,0.5365853658536586,1.2975488385021026,0.7310546104405395,finetuned,Fine-tuned,0.0001,1000.0
NVDA,7,0.01,,,False,long_short,,0.5286885245901639,0.4455988455988455,35,21,14,0,0.4571428571428571,-0.3371736161351767,-0.2433430196724764,finetuned,Fine-tuned,0.0001,1000.0
NVDA,8,0.015,,,False,long_short,,0.5185185185185185,0.4296586059743954,31,17,14,0,0.3870967741935484,-1.0341451310288563,-0.4692428302222695,finetuned,Fine-tuned,0.0001,1000.0
NVDA,9,0.0175,,,False,long_short,,0.5289256198347108,0.456589767848046,27,14,13,0,0.3703703703703703,-0.5330934058331182,-0.3615576848002976,finetuned,Fine-tuned,0.0001,1000.0
NVDA,10,0.017,,,False,long_short,,0.4730290456431535,0.3956043956043956,25,11,14,0,0.36,-1.7593886421056026,-0.6516947098583032,finetuned,Fine-tuned,0.0001,1000.0
SPY,2,0.0025,,,False,long_short,,0.5060240963855421,0.5247773906310492,125,51,74,0,0.48,-0.6618480878140794,-0.0878778638259879,finetuned,Fine-tuned,0.0001,1000.0
SPY,3,0.0025,,,False,long_short,,0.4919354838709677,0.4744400527009222,83,46,37,0,0.5542168674698795,0.3233106917909869,0.0334202051004934,finetuned,Fine-tuned,0.0001,1000.0
SPY,4,0.005,,,False,long_short,,0.4696356275303643,0.4353777309818372,62,33,29,0,0.4838709677419355,-0.574439991813099,-0.0801424818517878,finetuned,Fine-tuned,0.0001,1000.0
SPY,5,0.005,,,False,long_short,,0.4715447154471545,0.427432216905901,50,26,24,0,0.32,-1.9918019961253493,-0.2402718454887064,finetuned,Fine-tuned,0.0001,1000.0
SPY,6,0.0075,,,False,long_short,,0.4285714285714285,0.4287333333333333,41,16,25,0,0.4878048780487805,0.1174754419446496,0.0067721093128072,finetuned,Fine-tuned,0.0001,1000.0
SPY,7,0.01,,,False,long_short,,0.4754098360655737,0.444982838683626,35,13,22,0,0.3714285714285714,-1.894531027061075,-0.1902530198584402,finetuned,Fine-tuned,0.0001,1000.0
SPY,8,0.015,,,False,long_short,,0.5637860082304527,0.4461538461538461,31,2,29,0,0.2903225806451613,-3.4920175763612855,-0.2696667247945228,finetuned,Fine-tuned,0.0001,1000.0
SPY,9,0.0175,,,False,long_short,,0.5702479338842975,0.4535211267605634,27,1,26,0,0.2592592592592592,-2.066198675713341,-0.2236516585763551,finetuned,Fine-tuned,0.0001,1000.0
SPY,10,0.017,,,False,long_short,,0.5311203319502075,0.4556339977851605,25,1,24,0,0.28,-2.2775518152249714,-0.2622522086421115,finetuned,Fine-tuned,0.0001,1000.0
