Stock,Horizon,BestThreshold,Mode,Strategy,ConfidenceThreshold,FineTuneLR,FineTuneSteps,UseCovariates,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,Skipped,WinRate,Sharpe,TotalReturn,ModelType
AAPL,2,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.4618473895582329,0.4727061556329849,125,60,65,0,0.464,-0.3489195157191774,-0.1037982898430162,finetuned_cov
AAPL,3,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.4879032258064516,0.4938708620124549,83,45,38,0,0.5903614457831325,1.2093147985278876,0.2682597316514008,finetuned_cov
AAPL,4,0.005,Fine-tuned,long_short,,0.0001,1000,True,0.4453441295546558,0.4538370096420552,62,29,33,0,0.5645161290322581,0.780599539636605,0.1524311157472699,finetuned_cov
AAPL,5,0.005,Fine-tuned,long_short,,0.0001,1000,True,0.5203252032520326,0.5442970822281167,50,21,29,0,0.52,0.2571871519249621,0.0339859129551751,finetuned_cov
AAPL,6,0.0075,Fine-tuned,long_short,,0.0001,1000,True,0.5102040816326531,0.501332800213248,41,12,29,0,0.4146341463414634,-1.2542225683067818,-0.2395871754144495,finetuned_cov
AAPL,7,0.01,Fine-tuned,long_short,,0.0001,1000,True,0.5737704918032787,0.5507305194805195,35,12,23,0,0.4571428571428571,-0.4137029410196576,-0.1101059777428139,finetuned_cov
AAPL,8,0.015,Fine-tuned,long_short,,0.0001,1000,True,0.5102880658436214,0.5110420979986197,31,5,26,0,0.6129032258064516,-0.3809882738207607,-0.0967189982266529,finetuned_cov
AAPL,9,0.0175,Fine-tuned,long_short,,0.0001,1000,True,0.5206611570247934,0.4891658013153341,27,1,26,0,0.4074074074074074,-1.647487300166341,-0.2907124813205938,finetuned_cov
AAPL,10,0.017,Fine-tuned,long_short,,0.0001,1000,True,0.4688796680497925,0.4760512392091339,25,2,23,0,0.32,-1.948062128516339,-0.3448907238672015,finetuned_cov
META,2,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.4899598393574297,0.5013056534795666,125,46,79,0,0.416,-1.4298775935529455,-0.4197964445371226,finetuned_cov
META,3,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.5080645161290323,0.5089761294140855,83,32,51,0,0.5783132530120482,0.3023627627667685,0.046385196385619,finetuned_cov
META,4,0.005,Fine-tuned,long_short,,0.0001,1000,True,0.4574898785425101,0.4220985691573927,62,16,46,0,0.4838709677419355,-0.6496706139359841,-0.2208176337749781,finetuned_cov
META,5,0.005,Fine-tuned,long_short,,0.0001,1000,True,0.4227642276422764,0.3981481481481481,50,6,44,0,0.32,-1.6855312707841132,-0.467468275178972,finetuned_cov
META,6,0.0075,Fine-tuned,long_short,,0.0001,1000,True,0.4326530612244898,0.3868603230623049,41,1,40,0,0.3658536585365853,-1.747911931132229,-0.4271260654199594,finetuned_cov
META,7,0.01,Fine-tuned,long_short,,0.0001,1000,True,0.4098360655737705,0.3951525054466231,35,2,33,0,0.4,-0.9906635523596532,-0.2995816501992951,finetuned_cov
META,8,0.015,Fine-tuned,long_short,,0.0001,1000,True,0.4814814814814814,0.4319945541184479,31,1,30,0,0.3225806451612903,-2.06907685951968,-0.4931146737003697,finetuned_cov
META,9,0.0175,Fine-tuned,long_short,,0.0001,1000,True,0.4504132231404958,0.3814926189174412,27,3,24,0,0.3703703703703703,-0.9341435530806136,-0.3158872311275355,finetuned_cov
META,10,0.017,Fine-tuned,long_short,,0.0001,1000,True,0.4315352697095436,0.4165631469979295,25,3,22,0,0.36,-1.2118333516922175,-0.3864674226067417,finetuned_cov
NVDA,2,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.5220883534136547,0.5158120770432066,125,57,68,0,0.504,0.594332424590107,0.1905186694244391,finetuned_cov
NVDA,3,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.5685483870967742,0.5513819513819513,83,52,31,0,0.5662650602409639,0.8581210462621136,0.3702098106146829,finetuned_cov
NVDA,4,0.005,Fine-tuned,long_short,,0.0001,1000,True,0.5141700404858299,0.510180690399137,62,30,32,0,0.5161290322580645,1.051604255356759,0.4956215299293349,finetuned_cov
NVDA,5,0.005,Fine-tuned,long_short,,0.0001,1000,True,0.5203252032520326,0.5078976034858388,50,24,26,0,0.54,0.436346664163539,0.0908070355664854,finetuned_cov
NVDA,6,0.0075,Fine-tuned,long_short,,0.0001,1000,True,0.5224489795918368,0.531157894736842,41,15,26,0,0.4390243902439024,0.0461764763254338,-0.1105486263925882,finetuned_cov
NVDA,7,0.01,Fine-tuned,long_short,,0.0001,1000,True,0.5655737704918032,0.5874458874458874,35,13,22,0,0.4,-0.1459722867997248,-0.1681271936863082,finetuned_cov
NVDA,8,0.015,Fine-tuned,long_short,,0.0001,1000,True,0.5308641975308642,0.5680654338549074,31,11,20,0,0.4516129032258064,-0.3925327255884083,-0.273294758538722,finetuned_cov
NVDA,9,0.0175,Fine-tuned,long_short,,0.0001,1000,True,0.5578512396694215,0.597409213303253,27,13,14,0,0.6296296296296297,1.8873349648037832,1.375811146621999,finetuned_cov
NVDA,10,0.017,Fine-tuned,long_short,,0.0001,1000,True,0.5518672199170125,0.5909804481233052,25,12,13,0,0.64,2.1109360590251676,1.6397180289548243,finetuned_cov
SPY,2,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.5140562248995983,0.5398115885920765,125,38,87,0,0.44,-1.4387445526132472,-0.1732571298335972,finetuned_cov
SPY,3,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.4959677419354839,0.5096837944664032,83,34,49,0,0.4337349397590361,-1.148167996442875,-0.1424382774362604,finetuned_cov
SPY,4,0.005,Fine-tuned,long_short,,0.0001,1000,True,0.5182186234817814,0.4747959989470913,62,13,49,0,0.4032258064516129,-1.620862311730814,-0.1956712289190401,finetuned_cov
SPY,5,0.005,Fine-tuned,long_short,,0.0001,1000,True,0.4674796747967479,0.4956140350877193,50,9,41,0,0.26,-3.527031769098648,-0.3609699132689942,finetuned_cov
SPY,6,0.0075,Fine-tuned,long_short,,0.0001,1000,True,0.4571428571428571,0.4805333333333333,41,3,38,0,0.3902439024390244,-1.211669545773782,-0.1508288096367066,finetuned_cov
SPY,7,0.01,Fine-tuned,long_short,,0.0001,1000,True,0.4959016393442623,0.5313951140722795,35,3,32,0,0.2571428571428571,-3.818549509448846,-0.3119837812357628,finetuned_cov
SPY,8,0.015,Fine-tuned,long_short,,0.0001,1000,True,0.5802469135802469,0.5537062937062938,31,1,30,0,0.2903225806451613,-3.5073828036657884,-0.2703985705050055,finetuned_cov
SPY,9,0.0175,Fine-tuned,long_short,,0.0001,1000,True,0.5661157024793388,0.5430985915492959,27,1,26,0,0.2592592592592592,-2.066198675713341,-0.2236516585763551,finetuned_cov
SPY,10,0.017,Fine-tuned,long_short,,0.0001,1000,True,0.5062240663900415,0.5680370985603544,25,0,25,0,0.32,-1.85595190640685,-0.2262568093023376,finetuned_cov
TSLA,2,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.5060240963855421,0.4848269628099173,125,79,46,0,0.504,1.4126127494064953,1.028833865462683,finetuned_cov
TSLA,3,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.5,0.4976580796252927,83,60,23,0,0.5060240963855421,0.1806043249743451,-0.0716123878696914,finetuned_cov
TSLA,4,0.005,Fine-tuned,long_short,,0.0001,1000,True,0.5303643724696356,0.5689791091840758,62,44,18,0,0.5967741935483871,0.4113198015573897,0.0652518111672559,finetuned_cov
TSLA,5,0.005,Fine-tuned,long_short,,0.0001,1000,True,0.5284552845528455,0.5499205508474576,50,40,10,0,0.54,1.9233673044386872,1.7036085128642648,finetuned_cov
TSLA,6,0.0075,Fine-tuned,long_short,,0.0001,1000,True,0.4979591836734693,0.5115441078339784,41,33,8,0,0.5853658536585366,2.007114401084334,1.788464485179551,finetuned_cov
