Stock,Horizon,BestThreshold,Mode,Strategy,ConfidenceThreshold,FineTuneLR,FineTuneSteps,UseCovariates,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,Skipped,WinRate,Sharpe,TotalReturn
AAPL,2,0.0025,Fine-tuned,long_short,,0.0001,1000,False,0.4939759036144578,0.4437346754419925,125,62,63,0,0.536,0.838357845453876,0.18413046958498325
AAPL,3,0.0025,Fine-tuned,long_short,,0.0001,1000,False,0.45161290322580644,0.4503441494591937,83,55,28,0,0.6144578313253012,1.5653646684960871,0.3682564010027507
AAPL,4,0.005,Fine-tuned,long_short,,0.0001,1000,False,0.42105263157894735,0.4078721437062475,62,29,33,0,0.5483870967741935,0.15258535976374368,0.009767443184476976
AAPL,5,0.005,Fine-tuned,long_short,,0.0001,1000,False,0.44715447154471544,0.4610742705570292,50,21,29,0,0.48,-0.4049312639488605,-0.12473861676539111
AAPL,6,0.0075,Fine-tuned,long_short,,0.0001,1000,False,0.44081632653061226,0.43329334932693586,41,14,27,0,0.5365853658536586,-0.06492688914471569,-0.033834934885609735
AAPL,7,0.01,Fine-tuned,long_short,,0.0001,1000,False,0.4426229508196721,0.4351325757575758,35,7,28,0,0.37142857142857144,-1.0435435432617974,-0.22390987171215193
AAPL,8,0.015,Fine-tuned,long_short,,0.0001,1000,False,0.4691358024691358,0.46204278812974464,31,4,27,0,0.5806451612903226,-0.46725755060938395,-0.11274076397643795
AAPL,9,0.0175,Fine-tuned,long_short,,0.0001,1000,False,0.5,0.48847352024922114,27,2,25,0,0.37037037037037035,-1.804232616356073,-0.3101035212983432
AAPL,10,0.017,Fine-tuned,long_short,,0.0001,1000,False,0.47717842323651455,0.4604566972988026,25,2,23,0,0.36,-1.6521765695518948,-0.30831313617449796
META,2,0.0025,Fine-tuned,long_short,,0.0001,1000,False,0.5220883534136547,0.5622796709753232,125,34,91,0,0.44,-0.7668407391377744,-0.276728584622983
META,3,0.0025,Fine-tuned,long_short,,0.0001,1000,False,0.5,0.5433024265141053,83,26,57,0,0.5060240963855421,-0.8625959952350155,-0.28587790916914047
META,4,0.005,Fine-tuned,long_short,,0.0001,1000,False,0.4493927125506073,0.4691308956014838,62,17,45,0,0.46774193548387094,-0.7423677401460118,-0.24284579274190254
META,5,0.005,Fine-tuned,long_short,,0.0001,1000,False,0.4024390243902439,0.41727941176470584,50,7,43,0,0.3,-2.1205345191185017,-0.534982240219452
META,6,0.0075,Fine-tuned,long_short,,0.0001,1000,False,0.4163265306122449,0.4435998371114429,41,3,38,0,0.3170731707317073,-2.303537759140368,-0.5049919139692454
META,7,0.01,Fine-tuned,long_short,,0.0001,1000,False,0.4262295081967213,0.41060729847494554,35,6,29,0,0.37142857142857144,-1.807674763044279,-0.4456899008153923
META,8,0.015,Fine-tuned,long_short,,0.0001,1000,False,0.4567901234567901,0.44458815520762424,31,2,29,0,0.3548387096774194,-2.1882747425992988,-0.5043106118537283
META,9,0.0175,Fine-tuned,long_short,,0.0001,1000,False,0.4462809917355372,0.39379442318206664,27,2,25,0,0.3333333333333333,-1.0814423912805995,-0.3482520679650498
META,10,0.017,Fine-tuned,long_short,,0.0001,1000,False,0.4605809128630705,0.4204278812974465,25,2,23,0,0.4,-1.1137289109139046,-0.36608018330775993
NVDA,2,0.0025,Fine-tuned,long_short,,0.0001,1000,False,0.5140562248995983,0.5250520562207184,125,58,67,0,0.48,-0.28880414819364636,-0.23293171882435315
NVDA,3,0.0025,Fine-tuned,long_short,,0.0001,1000,False,0.5282258064516129,0.548917748917749,83,40,43,0,0.5903614457831325,1.7213707576363604,1.1802463870550888
NVDA,4,0.005,Fine-tuned,long_short,,0.0001,1000,False,0.5182186234817814,0.5095064724919094,62,18,44,0,0.41935483870967744,-1.0674060966795271,-0.4790173265652643
NVDA,5,0.005,Fine-tuned,long_short,,0.0001,1000,False,0.516260162601626,0.4948937908496732,50,12,38,0,0.46,-0.34154072907342836,-0.29785890243218016
NVDA,6,0.0075,Fine-tuned,long_short,,0.0001,1000,False,0.5020408163265306,0.4962105263157895,41,12,29,0,0.4146341463414634,-0.29607252491198244,-0.257639831579038
NVDA,7,0.01,Fine-tuned,long_short,,0.0001,1000,False,0.4713114754098361,0.4714285714285715,35,11,24,0,0.45714285714285713,-0.34654411898359655,-0.24345936883994035
NVDA,8,0.015,Fine-tuned,long_short,,0.0001,1000,False,0.4444444444444444,0.46145092460881926,31,8,23,0,0.41935483870967744,-0.38765606884633586,-0.2718068158509155
NVDA,9,0.0175,Fine-tuned,long_short,,0.0001,1000,False,0.45041322314049587,0.46524998180627325,27,9,18,0,0.48148148148148145,0.5455273344281368,0.16439136862835357
NVDA,10,0.017,Fine-tuned,long_short,,0.0001,1000,False,0.46473029045643155,0.47095761381475665,25,10,15,0,0.56,1.3043403206128419,0.7670805127253129
SPY,2,0.0025,Fine-tuned,long_short,,0.0001,1000,False,0.5060240963855421,0.5308426893792748,125,31,94,0,0.456,-1.2329994671503757,-0.15156821692924993
SPY,3,0.0025,Fine-tuned,long_short,,0.0001,1000,False,0.5,0.524901185770751,83,27,56,0,0.46987951807228917,0.056846914864444945,-0.0008060338762636565
SPY,4,0.005,Fine-tuned,long_short,,0.0001,1000,False,0.5384615384615384,0.4947354566991314,62,8,54,0,0.3709677419354839,-1.4693356639149464,-0.1802663737457385
SPY,5,0.005,Fine-tuned,long_short,,0.0001,1000,False,0.483739837398374,0.5094364699627858,50,9,41,0,0.38,-2.3298903880201,-0.27014228225690995
SPY,6,0.0075,Fine-tuned,long_short,,0.0001,1000,False,0.5020408163265306,0.516,41,7,34,0,0.43902439024390244,-1.0175503284817864,-0.12988684424163544
SPY,7,0.01,Fine-tuned,long_short,,0.0001,1000,False,0.5327868852459017,0.549094824685376,35,7,28,0,0.3142857142857143,-3.1477501229052813,-0.27644031609344366
