Stock,Horizon,BestThreshold,Mode,Strategy,ConfidenceThreshold,FineTuneLR,FineTuneSteps,UseCovariates,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,Skipped,WinRate,Sharpe,TotalReturn
AAPL,2,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.44176706827309237,0.4175377468060395,125,62,63,0,0.456,-0.026153871724683905,-0.033030567359387586
AAPL,3,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.4879032258064516,0.42969518190757133,83,54,29,0,0.5301204819277109,0.9116899937040082,0.1904338490456774
AAPL,4,0.005,Fine-tuned,long_short,,0.0001,1000,True,0.3967611336032389,0.3574164575353322,62,40,22,0,0.5806451612903226,0.3956053041140764,0.06268687660431671
AAPL,5,0.005,Fine-tuned,long_short,,0.0001,1000,True,0.4715447154471545,0.43905835543766575,50,36,14,0,0.46,0.7034670659650868,0.1589031555171443
AAPL,6,0.0075,Fine-tuned,long_short,,0.0001,1000,True,0.4122448979591837,0.373583899773424,41,24,17,0,0.5121951219512195,0.6012270563349137,0.10808374989138625
AAPL,7,0.01,Fine-tuned,long_short,,0.0001,1000,True,0.45491803278688525,0.4032738095238095,35,20,15,0,0.4,-0.5136865731448487,-0.13081651232646407
AAPL,8,0.015,Fine-tuned,long_short,,0.0001,1000,True,0.46502057613168724,0.42049689440993787,31,15,16,0,0.45161290322580644,-0.623002284231937,-0.1425416142963295
AAPL,9,0.0175,Fine-tuned,long_short,,0.0001,1000,True,0.5082644628099173,0.4418137763932157,27,9,18,0,0.48148148148148145,-0.4625674534133322,-0.10926895111460266
AAPL,10,0.017,Fine-tuned,long_short,,0.0001,1000,True,0.5020746887966805,0.43978000556947927,25,9,16,0,0.52,0.5206361857064845,0.09426063081092195
META,2,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.4899598393574297,0.5197153675414545,125,52,73,0,0.464,-0.4252521871674297,-0.18545688401580496
META,3,0.0025,Fine-tuned,long_short,,0.0001,1000,True,0.4959677419354839,0.5476425330439928,83,39,44,0,0.5421686746987951,0.3527068078222716,0.06541088258049488
META,4,0.005,Fine-tuned,long_short,,0.0001,1000,True,0.5060728744939271,0.49748277689454157,62,25,37,0,0.46774193548387094,-0.3798007220203534,-0.15397180000681532
