Stock,Horizon,BestThreshold,Model,ContextLength,UseCovariates,Strategy,ConfidenceThreshold,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,Skipped,WinRate,Sharpe,TotalReturn,ModelType,Mode,FineTuneLR,FineTuneSteps
AAPL,2,0.0025,amazon/chronos-2,60.0,True,long_short,,0.4457831325301205,0.4256033036520841,125,53,72,0,0.448,-0.2213993317652719,-0.0765725698991866,multivariate,,,
AAPL,3,0.0025,amazon/chronos-2,60.0,True,long_short,,0.439516129032258,0.432612258275975,83,47,36,0,0.5180722891566265,0.0604417473602112,-0.0105804566618161,multivariate,,,
AAPL,4,0.005,amazon/chronos-2,60.0,True,long_short,,0.4129554655870445,0.3808611808215559,62,32,30,0,0.5161290322580645,-0.3211982511968222,-0.0863980495340865,multivariate,,,
AAPL,5,0.005,amazon/chronos-2,60.0,True,long_short,,0.4593495934959349,0.4599801061007957,50,25,25,0,0.4,-1.0652851213699264,-0.2571865424333905,multivariate,,,
AAPL,6,0.0075,amazon/chronos-2,60.0,True,long_short,,0.4244897959183673,0.4001066240170598,41,18,23,0,0.4634146341463415,-0.9976435804369924,-0.1994463870989786,multivariate,,,
AAPL,7,0.01,amazon/chronos-2,60.0,True,long_short,,0.4713114754098361,0.4370265151515151,35,14,21,0,0.3428571428571428,-0.9405707003247682,-0.2081464123094224,multivariate,,,
AAPL,8,0.015,amazon/chronos-2,60.0,True,long_short,,0.4938271604938271,0.4429951690821256,31,6,25,0,0.5483870967741935,-1.2167736069522788,-0.2368585241246392,multivariate,,,
AAPL,9,0.0175,amazon/chronos-2,60.0,True,long_short,,0.5165289256198347,0.4677050882658358,27,3,24,0,0.4074074074074074,-1.0712561330351058,-0.2108549875821557,multivariate,,,
AAPL,10,0.017,amazon/chronos-2,60.0,True,long_short,,0.4979253112033195,0.4531467557783347,25,3,22,0,0.36,-1.7029187248261213,-0.3147723890798761,multivariate,,,
META,2,0.0025,amazon/chronos-2,60.0,True,long_short,,0.4779116465863454,0.516026896461679,125,53,72,0,0.456,-1.16352085599195,-0.3656541986852417,multivariate,,,
META,3,0.0025,amazon/chronos-2,60.0,True,long_short,,0.5443548387096774,0.5539882948642073,83,38,45,0,0.5542168674698795,-0.3454180677440343,-0.1519786769483623,multivariate,,,
META,4,0.005,amazon/chronos-2,60.0,True,long_short,,0.5020242914979757,0.5255696873343931,62,24,38,0,0.4516129032258064,-0.4754778513782107,-0.1785299243063992,multivariate,,,
META,5,0.005,amazon/chronos-2,60.0,True,long_short,,0.4959349593495935,0.5151824618736384,50,20,30,0,0.34,-2.053480637701087,-0.5182863486080402,multivariate,,,
META,6,0.0075,amazon/chronos-2,60.0,True,long_short,,0.4816326530612245,0.5094000271480927,41,9,32,0,0.4146341463414634,-0.9516653793168872,-0.2836949587517893,multivariate,,,
META,7,0.01,amazon/chronos-2,60.0,True,long_short,,0.4713114754098361,0.5033020152505447,35,6,29,0,0.4,-1.1740199263519602,-0.3364549959400097,multivariate,,,
META,8,0.015,amazon/chronos-2,60.0,True,long_short,,0.4814814814814814,0.5166099387338325,31,3,28,0,0.3225806451612903,-3.0203165161094283,-0.5924390679857363,multivariate,,,
META,9,0.0175,amazon/chronos-2,60.0,True,long_short,,0.5082644628099173,0.5140787315472936,27,2,25,0,0.4074074074074074,-0.8015423217378707,-0.2849486645075374,multivariate,,,
META,10,0.017,amazon/chronos-2,60.0,True,long_short,,0.4896265560165975,0.5130779848171153,25,2,23,0,0.32,-1.520321317805601,-0.4445394322200845,multivariate,,,
