Stock,Horizon,BestThreshold,Model,ContextLength,UseCovariates,Strategy,ConfidenceThreshold,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,Skipped,WinRate,Sharpe,TotalReturn,ModelType,Mode,FineTuneLR,FineTuneSteps
AAPL,2,0.0025,amazon/chronos-2,60.0,False,long_short,,0.4457831325301205,0.4166666666666667,125,51,74,0,0.44,-0.2016548759160352,-0.0722591994287573,zero-shot,,,
AAPL,3,0.0025,amazon/chronos-2,60.0,False,long_short,,0.4354838709677419,0.4151425762045231,83,44,39,0,0.5301204819277109,0.3154823877876611,0.0460866429522777,zero-shot,,,
AAPL,4,0.005,amazon/chronos-2,60.0,False,long_short,,0.3927125506072874,0.3449346189406947,62,31,31,0,0.4677419354838709,-0.9114490097370358,-0.1928761791923636,zero-shot,,,
AAPL,5,0.005,amazon/chronos-2,60.0,False,long_short,,0.4552845528455284,0.4211206896551724,50,25,25,0,0.36,-1.4441078384166113,-0.3221052569118747,zero-shot,,,
AAPL,6,0.0075,amazon/chronos-2,60.0,False,long_short,,0.4163265306122449,0.3559909369585499,41,19,22,0,0.4390243902439024,-1.3986231809757528,-0.2593225732947654,zero-shot,,,
AAPL,7,0.01,amazon/chronos-2,60.0,False,long_short,,0.4918032786885246,0.3967464826839827,35,12,23,0,0.3428571428571428,-1.1717675294207526,-0.2445748112250684,zero-shot,,,
AAPL,8,0.015,amazon/chronos-2,60.0,False,long_short,,0.51440329218107,0.4091787439613527,31,9,22,0,0.5161290322580645,-1.1127345793866326,-0.2215911655988126,zero-shot,,,
AAPL,9,0.0175,amazon/chronos-2,60.0,False,long_short,,0.5082644628099173,0.4446521287642783,27,6,21,0,0.4444444444444444,-0.787094372585023,-0.1656163819193823,zero-shot,,,
AAPL,10,0.017,amazon/chronos-2,60.0,False,long_short,,0.5062240663900415,0.4383180172653856,25,6,19,0,0.4,-0.7036461776754113,-0.1634709919489874,zero-shot,,,
META,2,0.0025,amazon/chronos-2,60.0,False,long_short,,0.4859437751004016,0.5159942551246899,125,54,71,0,0.48,-0.4154572667622397,-0.1826626720314786,zero-shot,,,
META,3,0.0025,amazon/chronos-2,60.0,False,long_short,,0.532258064516129,0.5525415926875781,83,42,41,0,0.5542168674698795,0.6635922274468719,0.1821627872178932,zero-shot,,,
META,4,0.005,amazon/chronos-2,60.0,False,long_short,,0.4939271255060729,0.5087440381558028,62,29,33,0,0.4677419354838709,-0.6404977573012628,-0.2194247937615527,zero-shot,,,
META,5,0.005,amazon/chronos-2,60.0,False,long_short,,0.4756097560975609,0.4768858932461873,50,24,26,0,0.34,-1.7551320706887186,-0.4788933671816456,zero-shot,,,
META,6,0.0075,amazon/chronos-2,60.0,False,long_short,,0.4775510204081633,0.486697434505226,41,14,27,0,0.4390243902439024,-1.3347536432209128,-0.3566021151566733,zero-shot,,,
META,7,0.01,amazon/chronos-2,60.0,False,long_short,,0.4713114754098361,0.478860294117647,35,9,26,0,0.4571428571428571,-0.8544295115881363,-0.2696864498463884,zero-shot,,,
META,8,0.015,amazon/chronos-2,60.0,False,long_short,,0.4773662551440329,0.4958475153165418,31,6,25,0,0.4193548387096774,-2.216662022023895,-0.5089017899095707,zero-shot,,,
META,9,0.0175,amazon/chronos-2,60.0,False,long_short,,0.4793388429752066,0.4820256971022417,27,5,22,0,0.3703703703703703,-1.405950505388892,-0.410266984989303,zero-shot,,,
META,10,0.017,amazon/chronos-2,60.0,False,long_short,,0.4937759336099585,0.4972739820565907,25,5,20,0,0.28,-3.532825417069497,-0.6517293212391462,zero-shot,,,
NVDA,2,0.0025,amazon/chronos-2,60.0,False,long_short,,0.5220883534136547,0.4883198854763144,125,61,64,0,0.536,0.1084878759035077,-0.0669539189663268,zero-shot,,,
NVDA,3,0.0025,amazon/chronos-2,60.0,False,long_short,,0.4919354838709677,0.4961038961038961,83,43,40,0,0.4819277108433735,-0.4457330775767801,-0.3183600361927009,zero-shot,,,
NVDA,4,0.005,amazon/chronos-2,60.0,False,long_short,,0.4979757085020243,0.4851672060409924,62,33,29,0,0.5,0.515077215637856,0.1460696024815466,zero-shot,,,
NVDA,5,0.005,amazon/chronos-2,60.0,False,long_short,,0.4715447154471545,0.4411083877995642,50,21,29,0,0.48,-1.607037317041941,-0.6398897824288503,zero-shot,,,
NVDA,6,0.0075,amazon/chronos-2,60.0,False,long_short,,0.4897959183673469,0.4292982456140351,41,17,24,0,0.4634146341463415,0.0180527078836295,-0.1247453979357725,zero-shot,,,
NVDA,7,0.01,amazon/chronos-2,60.0,False,long_short,,0.5,0.453030303030303,35,16,19,0,0.3714285714285714,-1.4148460585592588,-0.5408006451475473,zero-shot,,,
NVDA,8,0.015,amazon/chronos-2,60.0,False,long_short,,0.4732510288065844,0.4364153627311521,31,11,20,0,0.2580645161290322,-3.5211187015971537,-0.7855915070308805,zero-shot,,,
NVDA,9,0.0175,amazon/chronos-2,60.0,False,long_short,,0.5,0.4628484098682774,27,10,17,0,0.3703703703703703,-1.1051312754461473,-0.526549036176059,zero-shot,,,
NVDA,10,0.017,amazon/chronos-2,60.0,False,long_short,,0.4232365145228215,0.4061652633081204,25,8,17,0,0.32,-2.3141266539666177,-0.7237934037132845,zero-shot,,,
SPY,2,0.0025,amazon/chronos-2,60.0,False,long_short,,0.5060240963855421,0.5190024519292812,125,44,81,0,0.456,-1.1740030497364813,-0.1451990780420831,zero-shot,,,
SPY,3,0.0025,amazon/chronos-2,60.0,False,long_short,,0.4758064516129032,0.4675889328063241,83,41,42,0,0.5180722891566265,-0.18330448043124,-0.0308282482097013,zero-shot,,,
SPY,4,0.005,amazon/chronos-2,60.0,False,long_short,,0.4736842105263157,0.4382732297973151,62,24,38,0,0.4032258064516129,-1.4536922647814872,-0.1786408223856982,zero-shot,,,
SPY,5,0.005,amazon/chronos-2,60.0,False,long_short,,0.4552845528455284,0.4119816586921849,50,22,28,0,0.32,-2.149114623320276,-0.2549145944486768,zero-shot,,,
SPY,6,0.0075,amazon/chronos-2,60.0,False,long_short,,0.4571428571428571,0.4113333333333333,41,13,28,0,0.4634146341463415,-0.2877124166377384,-0.044622305126065,zero-shot,,,
SPY,7,0.01,amazon/chronos-2,60.0,False,long_short,,0.4836065573770491,0.4245911568746214,35,6,29,0,0.3428571428571428,-2.880561508605901,-0.2604368191949625,zero-shot,,,
SPY,8,0.015,amazon/chronos-2,60.0,False,long_short,,0.588477366255144,0.4441258741258742,31,2,29,0,0.2903225806451613,-3.4920175763612855,-0.2696667247945228,zero-shot,,,
SPY,9,0.0175,amazon/chronos-2,60.0,False,long_short,,0.5826446280991735,0.4503521126760563,27,1,26,0,0.2592592592592592,-2.066198675713341,-0.2236516585763551,zero-shot,,,
SPY,10,0.017,amazon/chronos-2,60.0,False,long_short,,0.5394190871369294,0.4561184939091915,25,2,23,0,0.28,-2.2914779548036597,-0.2633650341740012,zero-shot,,,
TSLA,2,0.0025,amazon/chronos-2,60.0,False,long_short,,0.4779116465863454,0.4654571280991735,125,55,70,0,0.48,1.0044229926698836,0.5430965135515489,zero-shot,,,
TSLA,3,0.0025,amazon/chronos-2,60.0,False,long_short,,0.5080645161290323,0.4825657038771793,83,40,43,0,0.4698795180722891,-0.9200147268544608,-0.5244895912055454,zero-shot,,,
TSLA,4,0.005,amazon/chronos-2,60.0,False,long_short,,0.562753036437247,0.5454933648666404,62,31,31,0,0.5483870967741935,-0.6276340697737551,-0.432315723217789,zero-shot,,,
TSLA,5,0.005,amazon/chronos-2,60.0,False,long_short,,0.5284552845528455,0.5366128177966102,50,25,25,0,0.52,0.0947728794694326,-0.1256991703071913,zero-shot,,,
TSLA,6,0.0075,amazon/chronos-2,60.0,False,long_short,,0.5142857142857142,0.5114440144134526,41,20,21,0,0.4146341463414634,0.2850880522314626,-0.0035336958244751,zero-shot,,,
TSLA,7,0.01,amazon/chronos-2,60.0,False,long_short,,0.4795081967213114,0.4642689075630252,35,13,22,0,0.4857142857142857,0.3537559164522192,0.0130339694182795,zero-shot,,,
TSLA,8,0.015,amazon/chronos-2,60.0,False,long_short,,0.5102880658436214,0.4816734417344173,31,9,22,0,0.3548387096774194,-1.4680558010873246,-0.6390572089401417,zero-shot,,,
TSLA,9,0.0175,amazon/chronos-2,60.0,False,long_short,,0.5,0.4747813012575178,27,8,19,0,0.4444444444444444,-0.2617570788313233,-0.3009705211761631,zero-shot,,,
TSLA,10,0.017,amazon/chronos-2,60.0,False,long_short,,0.4854771784232365,0.4786816365890619,25,9,16,0,0.56,0.39978238233099,0.044392211491367,zero-shot,,,
