Stock,Horizon,BestThreshold,Strategy,ConfidenceThreshold,n_estimators,max_depth,learning_rate,subsample,min_samples_split,min_samples_leaf,Train_Accuracy,Train_ROC_AUC,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,Skipped,WinRate,Sharpe,TotalReturn
AAPL,2,0.0025,long_short,,167,3,0.13721468206221746,0.9029629706114135,9,5,0.841948310139165,0.9270118145561339,0.4900398406374502,0.4613503556910569,125,77,48,0,0.416,-2.2912000057176107,-0.42290947071880747
AAPL,3,0.005,long_short,,500,3,0.0661811527811523,1.0,20,1,0.8926441351888668,0.964344027357726,0.5219123505976095,0.5079091720882766,83,46,37,0,0.4939759036144578,-0.2979841299466715,-0.08517329046130384
AAPL,4,0.005,long_short,,472,3,0.292157327654986,0.8087407548138583,13,1,1.0,1.0,0.4541832669322709,0.4952800102053833,62,42,20,0,0.5645161290322581,-0.2759484443958753,-0.07756597009514343
AAPL,5,0.005,long_short,,394,6,0.01,0.9741772749843176,2,10,0.7833001988071571,0.8756443706514865,0.49800796812749004,0.5144310235219327,50,31,19,0,0.36,0.09077622199254802,-0.009047174076611375
AAPL,6,0.0075,long_short,,147,3,0.014279169227740229,0.959787025702669,17,5,0.6858846918489065,0.7480343752100025,0.5139442231075697,0.4657012195121951,41,20,21,0,0.43902439024390244,-0.8110352833240392,-0.16988189305211898
AAPL,7,0.01,long_short,,128,7,0.018585951462501544,0.8776807051588263,10,3,0.8658051689860835,0.9329210689623825,0.5697211155378487,0.5444822713257965,35,19,16,0,0.37142857142857144,-1.8680256798044934,-0.34211042808492587
AAPL,8,0.0125,long_short,,356,7,0.010461499920091558,0.9711008778424265,12,4,0.8817097415506958,0.9549398552414685,0.5697211155378487,0.5131595881595881,31,13,18,0,0.5161290322580645,0.2803551910523274,0.037053402885968145
AAPL,9,0.015000000000000001,long_short,,128,7,0.018585951462501544,0.8776807051588263,10,3,0.8677932405566601,0.9479463099981028,0.5617529880478087,0.5016379753340185,27,10,17,0,0.5925925925925926,-0.15480791247296313,-0.051102981394956504
AAPL,10,0.015000000000000001,long_short,,50,10,0.026421428844795224,0.8605341584968227,11,3,0.9005964214711729,0.9688853840559086,0.5338645418326693,0.4856138107416879,25,10,15,0,0.56,-0.3581375159856637,-0.09814334875025266
META,2,0.0025,long_short,,73,10,0.0405463931482751,1.0,20,6,0.8707753479125249,0.9489709201440356,0.4900398406374502,0.5594780043606515,125,10,115,0,0.424,-1.4200550908603657,-0.41959406181184844
