Stock,Horizon,BestThreshold,Strategy,ConfidenceThreshold,n_estimators,max_depth,learning_rate,num_leaves,subsample,colsample_bytree,reg_alpha,reg_lambda,Train_Accuracy,Train_ROC_AUC,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,Skipped,WinRate,Sharpe,TotalReturn
AAPL,2,0.0025,long_short,,499,3,0.03198948702947962,68,0.9340219351767964,0.8415879998838411,0.0,6.812217945950025,0.6590457256461233,0.7341290075219473,0.4860557768924303,0.446678099593496,125,75,50,0,0.48,-1.0493038009449709,-0.2365762104862177
AAPL,3,0.005,long_short,,500,3,0.01,100,0.5,1.0,0.0,0.0,0.6809145129224652,0.7404910158334816,0.5099601593625498,0.5125334864140835,83,47,36,0,0.4578313253012048,-0.8814168166459018,-0.19444523368327327
AAPL,4,0.005,long_short,,500,12,0.01,83,0.8881593191062161,0.801761358447328,0.49443162474782315,0.0,0.7992047713717694,0.8858368928966935,0.5179282868525896,0.5320512820512819,62,40,22,0,0.6129032258064516,0.6890677991607219,0.13004966634462356
AAPL,5,0.005,long_short,,500,3,0.01,20,0.5,1.0,0.0,0.0,0.6481113320079522,0.7158384724857685,0.5059760956175299,0.5313095994914178,50,31,19,0,0.48,1.1512527879985315,0.29602276378912107
AAPL,6,0.0075,long_short,,50,6,0.028216087523818257,40,1.0,0.6367666270791613,1.3332798068169671,10.0,0.6888667992047713,0.7368335751246181,0.5378486055776892,0.5094639227642277,41,30,11,0,0.34146341463414637,-2.2669313583086583,-0.36930061572409023
AAPL,7,0.01,long_short,,50,3,0.29999999999999993,100,0.8290284650344245,1.0,0.0,0.0,0.7326043737574552,0.8187519022265438,0.549800796812749,0.484872816032888,35,20,15,0,0.4,-1.3542047318606325,-0.27126829134998287
AAPL,8,0.0125,long_short,,50,5,0.22374087673212245,78,0.5,0.877115318813583,0.0,0.0,0.7823061630218688,0.8607855383776133,0.5418326693227091,0.5066924066924067,31,14,17,0,0.6129032258064516,0.9612666167619619,0.1934994338149103
AAPL,9,0.015000000000000001,long_short,,500,3,0.01,20,0.8767960554564775,0.5,0.0,0.0,0.7117296222664016,0.7936705558717511,0.5338645418326693,0.5003854059609455,27,14,13,0,0.7407407407407407,1.399866832759405,0.29024082626916936
AAPL,10,0.015000000000000001,long_short,,50,12,0.29999999999999993,100,0.5,1.0,0.0,0.0,0.9254473161033797,0.9794413875976347,0.5418326693227091,0.49395780051150895,25,11,14,0,0.6,0.5025221875983453,0.08996135065837829
META,2,0.0025,long_short,,336,4,0.11875172528315023,24,0.6021088986538078,0.5,10.0,10.0,0.5695825049701789,0.5937772981861158,0.450199203187251,0.5431255611132487,125,0,125,0,0.408,-1.778811062782762,-0.48512024290081157
META,3,0.0025,long_short,,500,12,0.01,30,0.5655106324584223,1.0,2.9891905638187435,0.0,0.7385685884691849,0.8230305210437477,0.47808764940239046,0.5533679088231529,83,10,73,0,0.3855421686746988,-1.165894381810085,-0.3537364375375801
META,4,0.005,long_short,,479,12,0.07796922254374906,61,1.0,1.0,2.19338420539366,5.186411482465059,0.794234592445328,0.8792944664031621,0.4860557768924303,0.5744245524296676,62,7,55,0,0.4838709677419355,-1.2159286329201573,-0.34300606430729164
META,5,0.005,long_short,,293,12,0.05893254493773742,26,0.5085652289647355,0.8756104622227874,9.893221091277027,2.3249858881059864,0.5944333996023857,0.6468933923072971,0.4262948207171315,0.5,50,0,50,0,0.36,-1.5574139372674727,-0.4449984441584087
META,6,0.0075,long_short,,50,12,0.01,20,0.5,0.5,10.0,0.0,0.5984095427435387,0.6305018023145513,0.44621513944223107,0.5,41,0,41,0,0.34146341463414637,-1.8850047617923165,-0.448020620317209
META,7,0.0075,long_short,,50,3,0.01,42,1.0,0.5,10.0,0.0,0.6133200795228628,0.6531493075317777,0.44223107569721115,0.46113256113256107,35,0,35,0,0.34285714285714286,-1.7079865749536804,-0.43084021047522214
META,8,0.01,long_short,,50,3,0.01,20,1.0,1.0,10.0,0.0,0.6391650099403579,0.6528904224372352,0.46613545816733065,0.5,31,0,31,0,0.3548387096774194,-1.7421670607115909,-0.44570065792266733
META,9,0.01,long_short,,50,3,0.01,100,1.0,1.0,0.6145784791869856,0.4725844439223813,0.5815109343936382,0.6302365565897907,0.46613545816733065,0.5582025768592933,27,0,27,0,0.3333333333333333,-1.5599032166728786,-0.43773719717122117
META,10,0.015000000000000001,long_short,,50,9,0.01,30,1.0,1.0,10.0,10.0,0.6332007952286283,0.691120728839351,0.4900398406374502,0.5,25,0,25,0,0.32,-1.4442458786378163,-0.43094139494727224
NVDA,2,0.005,long_short,,305,3,0.17545136166066816,56,0.6975751180009073,0.9633294328968972,7.27271995856421,3.2654076880583545,0.584493041749503,0.6443410209284401,0.4940239043824701,0.5820406865861412,125,20,105,0,0.52,-0.029165430217669572,-0.12773931122671167
NVDA,3,0.0075,long_short,,77,3,0.29999999999999993,78,0.9263849427234561,1.0,6.748131590056623,9.878778328448306,0.6083499005964215,0.64590646742568,0.4900398406374502,0.5550133945656334,83,7,76,0,0.4578313253012048,-0.44091093271594095,-0.3172963017142312
NVDA,4,0.0125,long_short,,50,11,0.01,63,0.8199262193667329,0.5,0.0,0.0,0.6918489065606361,0.7653117687978246,0.4900398406374502,0.5524326727642277,62,0,62,0,0.3870967741935484,-2.1035445555495067,-0.6765495163419737
NVDA,5,0.0125,long_short,,226,12,0.29999999999999993,20,0.7070543536867704,1.0,4.629875042932838,10.0,0.6888667992047713,0.7681412640874719,0.46215139442231074,0.5378033205619412,50,0,50,0,0.34,-1.7170498753741483,-0.66683239253883
NVDA,6,0.015000000000000001,long_short,,56,5,0.1123927552318036,83,0.8029799873905057,0.9631504392566745,6.5107702550194455,9.149596755437809,0.6610337972166997,0.7060790513833992,0.4302788844621514,0.4966006216006216,41,0,41,0,0.2926829268292683,-1.915075531218128,-0.6690667772196037
NVDA,7,0.017499999999999998,long_short,,248,5,0.29999999999999993,20,1.0,0.9797225369300114,8.455503121763698,0.0,0.6182902584493042,0.6834621952376435,0.42231075697211157,0.5442745608327912,35,0,35,0,0.3142857142857143,-2.168861980640043,-0.6547884866807931
NVDA,8,0.017499999999999998,long_short,,500,3,0.018305381338692972,38,0.7360095885642715,1.0,6.475753168646319,0.0,0.6451292246520874,0.7232287899448626,0.41832669322709165,0.4703522504892368,31,0,31,0,0.22580645161290322,-2.124461527141745,-0.6663603400568665
NVDA,9,0.02,long_short,,494,12,0.15963611179765563,78,0.5707612313334014,1.0,7.839380150592284,10.0,0.6739562624254473,0.7307529644268775,0.41434262948207173,0.50317242281528,27,0,27,0,0.37037037037037035,-1.6723794385532114,-0.6363821037131696
NVDA,10,0.0225,long_short,,393,6,0.01,100,0.9599529680595207,0.8879731496085936,0.0,7.773852481539693,0.7087475149105368,0.7806956521739129,0.450199203187251,0.5807361805822753,25,0,25,0,0.32,-1.760841775644853,-0.6583939415032531
SPY,2,0.0025,long_short,,50,12,0.01,73,1.0,0.6303350678129925,9.07625812250936,0.0,0.5666003976143141,0.6217097849424101,0.49800796812749004,0.5428888888888889,125,0,125,0,0.32,-2.7703560171470993,-0.29992323717405045
SPY,3,0.0025,long_short,,121,6,0.01,80,0.6974104011002598,0.5,10.0,3.7200129168424407,0.588469184890656,0.6310920711557869,0.5657370517928287,0.5847120687443889,83,50,33,0,0.5301204819277109,0.40336803826500955,0.04380002329269361
SPY,4,0.005,long_short,,50,3,0.29999999999999993,96,0.560880232185093,1.0,10.0,0.0,0.6182902584493042,0.6663772232419773,0.5378486055776892,0.5795338441890165,62,0,62,0,0.3548387096774194,-2.4286663040557253,-0.270641304389021
SPY,5,0.005,long_short,,500,9,0.019349079785275457,41,0.9892919536775042,0.5,10.0,1.3233034322288035,0.6083499005964215,0.6484360178334281,0.47410358565737054,0.6279921059332824,50,0,50,0,0.36,-2.0321964884992276,-0.24537003597502993
SPY,6,0.005,long_short,,500,12,0.01,31,0.9101396413100167,0.5611584746163166,10.0,6.698692176925894,0.6063618290258449,0.6590432850455465,0.46215139442231074,0.6596104725415071,41,0,41,0,0.3170731707317073,-2.224069132219505,-0.24682657594360635
SPY,7,0.0075,long_short,,500,4,0.2970315655574368,100,1.0,0.5,10.0,7.053721786365123,0.6113320079522863,0.6647741649797572,0.47808764940239046,0.5741094147582697,35,0,35,0,0.34285714285714286,-2.5331018993053807,-0.23775295669221486
SPY,8,0.0075,long_short,,479,4,0.017635351230409463,100,0.9022378606423489,1.0,8.0047995188174,10.0,0.6411530815109344,0.7002468227504124,0.46215139442231074,0.48027670527670524,31,0,31,0,0.3225806451612903,-3.058388862674446,-0.24766540946807458
SPY,9,0.01,long_short,,500,11,0.037993134556797044,86,0.5,1.0,0.0,0.0,0.9214711729622267,0.9792933251005352,0.46613545816733065,0.5199618563254926,27,1,26,0,0.2222222222222222,-2.8904640595847737,-0.2816719973639249
SPY,10,0.01,long_short,,50,8,0.058613700834266876,100,0.5978330766225581,1.0,7.470184219464327,0.0,0.6630218687872763,0.7309792061986085,0.4581673306772908,0.444693094629156,25,0,25,0,0.32,-1.85595190640685,-0.2262568093023376
TSLA,2,0.0025,long_short,,457,6,0.15348252984331315,91,0.8278835106910705,0.6677266072678602,1.9707539751025935,6.748570044924432,0.7654075546719682,0.8515106241699868,0.5577689243027888,0.532326764144946,125,85,40,0,0.512,0.8381206420252119,0.398864690698429
TSLA,3,0.005,long_short,,318,6,0.27516708248307675,39,0.7036097395295258,0.6729883715945,8.880124178326746,5.653778048194079,0.614314115308151,0.6581670771189021,0.4820717131474104,0.47080152671755726,83,68,15,0,0.6024096385542169,1.832017089826469,1.608677937116458
TSLA,4,0.005,long_short,,310,3,0.1435234436249281,89,1.0,1.0,10.0,2.3116751655150174,0.6282306163021869,0.6656619481130397,0.5139442231075697,0.5479801197910029,62,58,4,0,0.5483870967741935,1.3436871873300629,0.9537984121296532
TSLA,5,0.01,long_short,,50,12,0.01,97,0.9729348482206187,0.9567326673014749,10.0,10.0,0.6262425447316103,0.6447501037528902,0.5219123505976095,0.5354725415070242,50,42,8,0,0.54,1.7438588480808317,1.4201216990257772
TSLA,6,0.01,long_short,,183,12,0.14367133945092453,100,0.5647419214064938,0.5,0.0,0.0,0.9174950298210736,0.9751016762249564,0.5697211155378487,0.5626598465473146,41,27,14,0,0.3902439024390244,-0.6187527676545311,-0.4234983755638415
