Stock,Horizon,BestThreshold,Strategy,ConfidenceThreshold,C,penalty,l1_ratio,Train_Accuracy,Train_ROC_AUC,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,Skipped,WinRate,Sharpe,TotalReturn
AAPL,4,0.005,long_short,,0.03378315752673801,elasticnet,0.9747301937668459,0.5825049701789264,0.620406185730106,0.49800796812749004,0.5353042479908151,62,11,51,0,0.3225806451612903,-2.9231326217678775,-0.45356015313945064
AAPL,5,0.005,long_short,,0.047106000724313125,l1,,0.5864811133200796,0.621461891208096,0.4900398406374502,0.5090273363000636,50,11,39,0,0.38,-1.2543436397769911,-0.28989061903991
AAPL,6,0.0075,long_short,,0.0025977985972012057,elasticnet,0.12854255095915512,0.595427435387674,0.6215940041032046,0.5219123505976095,0.5366171239837398,41,1,40,0,0.4146341463414634,-1.7657640400992483,-0.3083500083295726
AAPL,8,0.0125,long_short,,0.020875512176208526,l1,,0.584493041749503,0.6144054899139433,0.5657370517928287,0.5574967824967825,31,1,30,0,0.4838709677419355,-1.671758854230195,-0.29978715180034565
AAPL,10,0.015000000000000001,long_short,,0.02390307817295333,l1,,0.5904572564612326,0.6239623849729627,0.5418326693227091,0.5199808184143222,25,0,25,0,0.4,-1.4835886346464648,-0.2856003338233628
META,4,0.005,long_short,,0.002838129270112674,l2,,0.536779324055666,0.5728932806324112,0.49800796812749004,0.6322890025575447,62,0,62,0,0.4032258064516129,-1.9036904459888522,-0.46262866256128765
META,5,0.005,long_short,,0.03768152933777968,l1,,0.55168986083499,0.5944709932685885,0.4342629482071713,0.6768237279335412,50,1,49,0,0.38,-0.4267016798910591,-0.19592247958692033
META,6,0.0075,long_short,,0.19700032656674688,l1,,0.5695825049701789,0.6099965218491115,0.46613545816733065,0.6759378211716343,41,0,41,0,0.34146341463414637,-1.8850047617923165,-0.448020620317209
META,8,0.01,long_short,,0.02561018506176015,l1,,0.5298210735586482,0.5777999114652501,0.46613545816733065,0.7235616787855593,31,0,31,0,0.3548387096774194,-1.7421670607115909,-0.44570065792266733
META,10,0.015000000000000001,long_short,,0.04103914164891861,l1,,0.5288270377733598,0.5825299895258987,0.4900398406374502,0.7744855182926829,25,0,25,0,0.32,-1.4442458786378163,-0.43094139494727224
NVDA,4,0.0125,long_short,,0.0013502067312764704,l2,,0.5864811133200796,0.6156564219313223,0.4940239043824701,0.6682545731707317,62,0,62,0,0.3870967741935484,-2.1035445555495067,-0.6765495163419737
NVDA,5,0.0125,long_short,,0.19780827689353786,l2,,0.5944333996023857,0.6265846552794171,0.4581673306772908,0.7081098339719029,50,0,50,0,0.34,-1.7170498753741483,-0.66683239253883
NVDA,6,0.015000000000000001,long_short,,0.05774195730330282,elasticnet,0.958013875901887,0.5715705765407555,0.6182252964426878,0.43824701195219123,0.7602952602952603,41,0,41,0,0.2926829268292683,-1.915075531218128,-0.6690667772196037
NVDA,8,0.017499999999999998,long_short,,0.046830113931982706,l1,,0.5735586481113321,0.6311357483053694,0.41832669322709165,0.7926288323548598,31,0,31,0,0.22580645161290322,-2.124461527141745,-0.6663603400568665
NVDA,10,0.0225,long_short,,1.7965626423790668,l1,,0.5745526838966203,0.6162252964426878,0.4541832669322709,0.7753623188405797,25,0,25,0,0.32,-1.760841775644853,-0.6583939415032531
SPY,4,0.005,long_short,,1.2229467525390618,l2,,0.6083499005964215,0.6481106399139187,0.5418326693227091,0.6217752234993614,62,1,61,0,0.3709677419354839,-2.156644198098148,-0.2467003637556926
SPY,5,0.005,long_short,,0.08543760951040483,l1,,0.5894632206759444,0.6318535382280402,0.4860557768924303,0.6711229946524063,50,0,50,0,0.36,-2.0321964884992276,-0.24537003597502993
SPY,6,0.005,long_short,,0.06993638063577773,l1,,0.5894632206759444,0.6327314492661944,0.47410358565737054,0.726851851851852,41,0,41,0,0.3170731707317073,-2.224069132219505,-0.24682657594360635
SPY,8,0.0075,long_short,,0.02033407227127436,l1,,0.5656063618290258,0.603228473219336,0.44223107569721115,0.7542792792792792,31,0,31,0,0.3225806451612903,-3.058388862674446,-0.24766540946807458
SPY,10,0.01,long_short,,0.019260662731510638,l1,,0.588469184890656,0.6221695129664768,0.4581673306772908,0.7307864450127877,25,0,25,0,0.32,-1.85595190640685,-0.2262568093023376
TSLA,4,0.005,long_short,,0.25572810057927703,l1,,0.5964214711729622,0.6514884987725963,0.5537848605577689,0.5911176245698994,62,53,9,0,0.5806451612903226,1.6185241187568415,1.331520758862632
TSLA,5,0.01,long_short,,0.006030761475332854,l2,,0.610337972166998,0.6650500978241537,0.5657370517928287,0.6064495530012771,50,43,7,0,0.56,1.8495502354364575,1.574500386557201
TSLA,6,0.01,long_short,,0.001847168237044054,l2,,0.6163021868787276,0.6773079218525824,0.549800796812749,0.5798593350383632,41,29,12,0,0.6341463414634146,2.0970919628198974,1.9149826161579182
TSLA,8,0.017499999999999998,long_short,,0.10714732093920884,l1,,0.6322067594433399,0.6966937412304105,0.5179282868525896,0.551502419149478,31,22,9,0,0.5806451612903226,2.0340144667358517,1.9249651361978892
TSLA,10,0.0225,long_short,,0.0971973435663575,l1,,0.6222664015904572,0.6985549007284786,0.5179282868525896,0.5685612335924557,25,12,13,0,0.52,0.9075116338909992,0.4592067397708812
