Stock,Horizon,BestThreshold,Strategy,ConfidenceThreshold,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,criterion,Train_Accuracy,Train_ROC_AUC,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,Skipped,WinRate,Sharpe,TotalReturn
AAPL,2,0.0025,long_short,,500,20,20,6,sqrt,gini,0.6719681908548708,0.7505543631641982,0.4940239043824701,0.46169969512195125,125,68,57,0,0.48,-0.6133154059860463,-0.15569578853662625
AAPL,3,0.005,long_short,,50,8,8,2,log2,gini,0.6819085487077535,0.7705509102769377,0.545816733067729,0.5539928562316622,83,28,55,0,0.46987951807228917,-1.647163013237034,-0.31421426402165065
AAPL,4,0.005,long_short,,250,8,10,1,sqrt,gini,0.7157057654075547,0.7876522702104098,0.50199203187251,0.5533550197729302,62,28,34,0,0.4838709677419355,-0.9522237526905512,-0.19935201758071586
AAPL,5,0.005,long_short,,92,6,2,3,sqrt,entropy,0.6481113320079522,0.7278028146742568,0.49800796812749004,0.5075333757151939,50,20,30,0,0.4,-0.7864044704636834,-0.20396807478362666
AAPL,6,0.0075,long_short,,110,3,20,1,sqrt,gini,0.6312127236580517,0.6799974700857405,0.4900398406374502,0.5029535060975611,41,18,23,0,0.43902439024390244,-0.47130975329756547,-0.11090952588694036
AAPL,7,0.01,long_short,,50,3,2,1,,entropy,0.6262425447316103,0.6970706699394845,0.5298804780876494,0.5210688591983555,35,20,15,0,0.34285714285714286,-2.25064064734782,-0.38743479794563673
AAPL,8,0.0125,long_short,,457,3,14,1,sqrt,entropy,0.6192842942345924,0.6878263688219691,0.5737051792828686,0.5155083655083655,31,7,24,0,0.45161290322580644,-1.1597523987917964,-0.22986908706425835
AAPL,9,0.015000000000000001,long_short,,303,3,20,1,log2,entropy,0.6500994035785288,0.7166729905773731,0.5657370517928287,0.4807618191161357,27,6,21,0,0.5185185185185185,-0.4734272562939744,-0.1111924215452399
AAPL,10,0.015000000000000001,long_short,,473,3,2,3,sqrt,entropy,0.6322067594433399,0.7072739778009676,0.545816733067729,0.46208439897698206,25,6,19,0,0.48,-0.4044690113797956,-0.10735071883190106
META,2,0.0025,long_short,,470,20,16,1,sqrt,entropy,0.8389662027833003,0.9190610016877938,0.5139442231075697,0.5761831473643709,125,7,118,0,0.448,-0.9840718861515364,-0.3274947023720224
META,3,0.0025,long_short,,83,14,14,1,log2,gini,0.794234592445328,0.8792440299952959,0.46613545816733065,0.6080804200281726,83,5,78,0,0.3855421686746988,-0.25269934659327864,-0.13124735903938634
META,4,0.005,long_short,,450,20,10,1,,gini,0.9214711729622267,0.9830276679841897,0.46613545816733065,0.5351662404092072,62,1,61,0,0.41935483870967744,-1.6032802561864135,-0.41412598461326866
META,5,0.005,long_short,,50,3,2,8,sqrt,gini,0.5964214711729622,0.6712221286754969,0.4342629482071713,0.6313603322949117,50,0,50,0,0.36,-1.5574139372674727,-0.4449984441584087
