Stock,Horizon,BestThreshold,Strategy,ConfidenceThreshold,C,kernel,gamma,Train_Accuracy,Train_ROC_AUC,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,Skipped,WinRate,Sharpe,TotalReturn
AAPL,2,0.0025,long_short,,0.01,poly,0.8693299443179656,0.6063618290258449,0.6910210954453285,0.5099601593625498,0.536839430894309,125,25,100,0,0.344,-2.764846562614561,-0.47979889432998013
AAPL,3,0.005,long_short,,8.13068218502474,rbf,0.05040224299425546,0.6451292246520874,0.7100298483860128,0.5537848605577689,0.528001020538334,83,15,68,0,0.43373493975903615,-1.5843725874873535,-0.3053229781816654
AAPL,4,0.005,long_short,,100.0,poly,0.2691284963835505,0.5755467196819085,0.7639297579496914,0.5059760956175299,0.5294680443934175,62,51,11,0,0.532258064516129,0.11809037859888281,0.0024023615396568943
AAPL,5,0.005,long_short,,0.9577207306467495,rbf,0.001,0.584493041749503,0.6235412713472486,0.4900398406374502,0.5150031786395423,50,11,39,0,0.38,-1.2543436397769911,-0.28989061903991
AAPL,6,0.0075,long_short,,0.9604862685714721,rbf,0.001,0.5805168986083499,0.6353168124661526,0.545816733067729,0.5302972560975608,41,8,33,0,0.2926829268292683,-2.8674457864131924,-0.42670731608236845
AAPL,7,0.01,long_short,,0.01,poly,0.3842706121789966,0.6262425447316103,0.7105572090927417,0.5657370517928287,0.5286806269270298,35,5,30,0,0.3142857142857143,-1.2929742524692431,-0.2638078559984164
AAPL,8,0.0125,long_short,,100.0,poly,1.0845233253528639,0.5357852882703777,0.7708609219165681,0.5896414342629482,0.5392213642213641,31,7,24,0,0.45161290322580644,-1.5588733878617653,-0.2868622914148067
AAPL,9,0.015000000000000001,long_short,,0.18676087079731288,poly,0.22381854941390483,0.6550695825049702,0.7297555808511984,0.5617529880478087,0.5081898766700924,27,4,23,0,0.37037037037037035,-1.4219496489186791,-0.26100664904952586
AAPL,10,0.015000000000000001,long_short,,0.013363587568952574,poly,2.188044213393225,0.5487077534791253,0.7505118900800051,0.5697211155378487,0.5497442455242967,25,0,25,0,0.4,-1.4835886346464648,-0.2856003338233628
META,2,0.0025,long_short,,2.1592825367158053,rbf,0.00562060562579255,0.5675944333996024,0.5912139861577198,0.4820717131474104,0.6382583044760806,125,3,122,0,0.416,-1.6562752760478388,-0.4636862655917974
META,3,0.0025,long_short,,100.0,rbf,6.840532639090307,0.8558648111332008,0.9136903938364963,0.4900398406374502,0.5134460238186708,83,13,70,0,0.3855421686746988,-0.36495765725637125,-0.1635225920446206
META,4,0.005,long_short,,0.01416411179691615,linear,,0.5407554671968191,0.5686482213438735,0.46613545816733065,0.6336317135549874,62,0,62,0,0.4032258064516129,-1.9036904459888522,-0.46262866256128765
META,5,0.005,long_short,,1.377453471226283,poly,6.530203296782905,0.5268389662027833,0.5700829667223994,0.4342629482071713,0.5806723779854622,50,2,48,0,0.4,-0.260554942373454,-0.1459492499727968
META,6,0.0075,long_short,,0.019309016045033198,linear,,0.5666003976143141,0.6049373932840069,0.44621513944223107,0.6846736896197327,41,0,41,0,0.34146341463414637,-1.8850047617923165,-0.448020620317209
META,7,0.0075,long_short,,0.01,linear,,0.5636182902584493,0.5939041453234679,0.44223107569721115,0.7281853281853281,35,0,35,0,0.34285714285714286,-1.7079865749536804,-0.43084021047522214
META,8,0.01,long_short,,100.0,poly,10.0,0.5009940357852882,0.5029761904761905,0.47410358565737054,0.4893481311391759,31,0,31,0,0.3548387096774194,-1.7421670607115909,-0.44570065792266733
META,9,0.01,long_short,,1.9794636322460097,rbf,0.005861638920628773,0.5467196819085487,0.6149838935989407,0.4701195219123506,0.7226049240974615,27,0,27,0,0.3333333333333333,-1.5599032166728786,-0.43773719717122117
META,10,0.015000000000000001,long_short,,1.519782075334771,rbf,0.01495553204024261,0.588469184890656,0.6405881306693544,0.49800796812749004,0.7263719512195123,25,0,25,0,0.32,-1.4442458786378163,-0.43094139494727224
NVDA,2,0.005,long_short,,1.1883297558875072,rbf,0.001,0.5815109343936382,0.6300962431572499,0.4860557768924303,0.6514303877940241,125,5,120,0,0.416,-1.9950261687147757,-0.6621589853226774
NVDA,3,0.0075,long_short,,0.6870614282613304,rbf,0.003727925903376984,0.5765407554671969,0.6195011068943707,0.47410358565737054,0.6993238933537441,83,1,82,0,0.40963855421686746,-1.5583994263470224,-0.6202599692375399
NVDA,4,0.0125,long_short,,1.173159678979724,rbf,0.001,0.5874751491053678,0.6200080629861506,0.4860557768924303,0.6722878556910569,62,0,62,0,0.3870967741935484,-2.1035445555495067,-0.6765495163419737
NVDA,5,0.0125,long_short,,0.2819402852349985,linear,,0.6033797216699801,0.6262842279610868,0.46215139442231074,0.7146871008939975,50,0,50,0,0.34,-1.7170498753741483,-0.66683239253883
NVDA,6,0.015000000000000001,long_short,,0.01,poly,0.5862210450787193,0.647117296222664,0.7167233201581028,0.4342629482071713,0.7240999740999741,41,1,40,0,0.3170731707317073,-1.5303410799460055,-0.603620880725654
NVDA,7,0.017499999999999998,long_short,,100.0,poly,0.012587973167283661,0.6322067594433399,0.7123553268190873,0.4262948207171315,0.7081977878985035,35,1,34,0,0.34285714285714286,-1.7234136727683234,-0.5882321221267619
NVDA,8,0.017499999999999998,long_short,,0.6933628118561364,rbf,0.001,0.5815109343936382,0.6223039070374103,0.41434262948207173,0.784344422700587,31,0,31,0,0.22580645161290322,-2.124461527141745,-0.6663603400568665
NVDA,9,0.02,long_short,,0.18473931795780957,rbf,0.017451648369006832,0.6023856858846919,0.6356146245059289,0.41434262948207173,0.49862637362637363,27,0,27,0,0.37037037037037035,-1.6723794385532114,-0.6363821037131696
NVDA,10,0.0225,long_short,,0.01,linear,,0.5725646123260437,0.6160592885375493,0.450199203187251,0.7779274079774272,25,0,25,0,0.32,-1.760841775644853,-0.6583939415032531
SPY,2,0.0025,long_short,,100.0,poly,0.008910287556608488,0.5805168986083499,0.6553404584257578,0.5059760956175299,0.559047619047619,125,7,118,0,0.304,-2.675593830826927,-0.2918714763666227
SPY,3,0.0025,long_short,,0.33656890919572463,linear,,0.5834990059642147,0.6231276094742466,0.46215139442231074,0.6092086700012824,83,1,82,0,0.39759036144578314,-2.3664357498669664,-0.26087949712894687
SPY,4,0.005,long_short,,0.045576716360099044,linear,,0.5934393638170974,0.644550287992911,0.5418326693227091,0.6204980842911877,62,0,62,0,0.3548387096774194,-2.4286663040557253,-0.270641304389021
SPY,5,0.005,long_short,,0.01751452532252101,linear,,0.5785288270377733,0.630134225004743,0.4860557768924303,0.6727145403615993,50,0,50,0,0.36,-2.0321964884992276,-0.24537003597502993
