Stock,Horizon,BestThreshold,Strategy,ConfidenceThreshold,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,Train_Accuracy,Train_ROC_AUC,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,Skipped,WinRate,Sharpe,TotalReturn
AAPL,2,0.0025,long_short,,50,6,0.01,1.0,0.5,0.0,10.0,8.708920693808492,0.5675944333996024,0.6203432506037716,0.5139442231075697,0.5120998475609757,125,88,37,0,0.472,-1.9771593529212839,-0.38140983459368016
AAPL,3,0.005,long_short,,500,3,0.29999999999999993,1.0,0.5,0.0,0.0,0.0,0.9343936381709742,0.9847140682757121,0.5338645418326693,0.5265977803291236,83,45,38,0,0.46987951807228917,-1.2072586857731136,-0.24921119006014547
AAPL,4,0.005,long_short,,500,3,0.29999999999999993,1.0,0.5,0.0,0.0,0.0,0.9135188866799204,0.9765049042872963,0.47410358565737054,0.5279691287153974,62,37,25,0,0.532258064516129,-0.3929657290751651,-0.10006651805063194
AAPL,5,0.005,long_short,,500,3,0.29999999999999993,0.5,0.5,0.0,0.0,10.0,0.8151093439363817,0.8971398640101201,0.50199203187251,0.5042911633820726,50,32,18,0,0.38,0.3372374236866178,0.05539450893964748
AAPL,6,0.0075,long_short,,500,10,0.1441419236725335,0.5,0.5,7.039465993438241,0.0,0.0,0.6381709741550696,0.6989500855822558,0.4860557768924303,0.5078124999999999,41,25,16,0,0.43902439024390244,-1.0807315112905276,-0.21311911593214738
AAPL,7,0.01,long_short,,108,12,0.15049027539602128,1.0,1.0,6.344504070794557,0.0,0.0,0.6391650099403579,0.6885506713624487,0.5338645418326693,0.48866264131551895,35,20,15,0,0.34285714285714286,-2.25064064734782,-0.38743479794563673
AAPL,8,0.0125,long_short,,410,12,0.29999999999999993,0.6027889375545821,0.6115005587341058,9.432135262531805,0.0,0.043944420103822324,0.614314115308151,0.6719175564190646,0.5776892430278885,0.5122265122265124,31,0,31,0,0.45161290322580644,-1.7404529081227598,-0.3085735430836618
AAPL,9,0.015000000000000001,long_short,,500,3,0.01,1.0,1.0,0.0,0.0,0.6592858209920318,0.7037773359840954,0.786639157655094,0.549800796812749,0.5079329393627955,27,10,17,0,0.5925925925925926,-0.15480791247296313,-0.051102981394956504
AAPL,10,0.015000000000000001,long_short,,91,9,0.03672338759552655,0.9916154429033942,0.7333814466239901,8.599404067363208,6.803075385877798,4.504992519695431,0.5984095427435387,0.6327593839926635,0.5418326693227091,0.5043478260869565,25,0,25,0,0.4,-1.4835886346464648,-0.2856003338233628
META,2,0.0025,long_short,,257,3,0.01,0.7920642060095464,0.5300372970134939,0.0,7.802728422903091,8.588801424662867,0.5825049701789264,0.6282051282051282,0.4541832669322709,0.5867641400538668,125,0,125,0,0.408,-1.778811062782762,-0.48512024290081157
META,3,0.0025,long_short,,50,12,0.29999999999999993,0.5,0.7691036951335737,0.0,0.0,10.0,0.7962226640159046,0.885197234487475,0.47410358565737054,0.5744973748239212,83,17,66,0,0.46987951807228917,0.2647795897806536,0.03482988807405829
