Stock,Horizon,BestThreshold,Strategy,ConfidenceThreshold,learning_rate,dropout_rate,lstm_units_1,lstm_units_2,batch_size,Train_Accuracy,Train_ROC_AUC,Test_Accuracy,Test_ROC_AUC,Trades,LongTrades,ShortTrades,Skipped,WinRate,Sharpe,TotalReturn,Model,n_estimators,max_depth,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda,num_leaves,min_samples_split,min_samples_leaf,max_features,criterion,C,penalty,l1_ratio,kernel
AAPL,2,0.0025,long_short,,0.0013250008535284,0.2686969388612833,94.0,60.0,16.0,0.5573770491803278,0.6220542538002857,0.502262443438914,0.5239148239148239,125,67,58,0,0.448,-0.5886534508497595,-0.152872148025061,LSTM,,,,,,,,,,,,,,,,
AAPL,3,0.005,long_short,,0.0026336951764535,0.4119969138186209,96.0,24.0,45.0,0.6239754098360656,0.7225092839979163,0.5067873303167421,0.4962264150943395,83,47,36,0,0.4337349397590361,-1.7000876495823305,-0.3219816601588167,LSTM,,,,,,,,,,,,,,,,
AAPL,4,0.005,long_short,,0.0001584710121043,0.2836995567863469,107.0,32.0,47.0,0.617827868852459,0.6749809924263745,0.497737556561086,0.4874151349561185,62,11,51,0,0.4516129032258064,-0.5766479160924115,-0.13453487558217,LSTM,,,,,,,,,,,,,,,,
AAPL,5,0.005,long_short,,0.0009679922845612,0.18956525987102,71.0,95.0,44.0,0.5727459016393442,0.7046896719707374,0.5203619909502263,0.4811801446416831,50,2,48,0,0.4,-1.198736852215635,-0.2802030387945791,LSTM,,,,,,,,,,,,,,,,
AAPL,6,0.0075,long_short,,0.0039181943471417,0.1733739159464655,207.0,83.0,37.0,0.5747950819672131,0.6928637432795697,0.4479638009049774,0.457002457002457,41,22,19,0,0.4878048780487805,-0.4618253246749276,-0.1092477753042566,LSTM,,,,,,,,,,,,,,,,
AAPL,7,0.01,long_short,,0.0017177621112338,0.3446612641953124,34.0,19.0,41.0,0.7602459016393442,0.8545239975137333,0.583710407239819,0.529126213592233,35,0,35,0,0.3142857142857143,-1.532946397047628,-0.2990766945891033,LSTM,,,,,,,,,,,,,,,,
AAPL,8,0.0125,long_short,,0.0001935526515233,0.457940703661313,48.0,115.0,37.0,0.7161885245901639,0.7969754618489076,0.6199095022624435,0.5281759762728622,31,1,30,0,0.4838709677419355,-1.6694592993909247,-0.2994897087601647,LSTM,,,,,,,,,,,,,,,,
AAPL,9,0.015,long_short,,0.0001584710121043,0.2836995567863469,107.0,32.0,47.0,0.7295081967213115,0.7919753086419752,0.5520361990950227,0.5248477867368767,27,0,27,0,0.4444444444444444,-1.527094470841217,-0.2751000637015627,LSTM,,,,,,,,,,,,,,,,
AAPL,10,0.015,long_short,,0.0005594257972213,0.5,256.0,16.0,64.0,0.735655737704918,0.8249984252629811,0.5429864253393665,0.5505332239540608,25,10,15,0,0.56,0.2764145432130815,0.0368059730700065,LSTM,,,,,,,,,,,,,,,,
META,2,0.0025,long_short,,0.0096178927950556,0.4160900824888992,127.0,36.0,16.0,0.5133196721311475,0.5121712584455558,0.4705882352941176,0.4558678500986193,125,0,125,0,0.408,-1.778811062782762,-0.4851202429008115,LSTM,,,,,,,,,,,,,,,,
META,3,0.0025,long_short,,0.0096366706548924,0.3374488104263662,256.0,119.0,37.0,0.5256147540983607,0.538795728186327,0.4796380090497738,0.4949581898671912,83,0,83,0,0.3493975903614458,-1.7929293755013551,-0.4706994215472787,LSTM,,,,,,,,,,,,,,,,
META,4,0.005,long_short,,0.0016595613641357,0.4332779646944659,71.0,60.0,25.0,0.5297131147540983,0.6397063764026071,0.497737556561086,0.6450040950040951,62,0,62,0,0.4032258064516129,-1.903690445988852,-0.4626286625612876,LSTM,,,,,,,,,,,,,,,,
META,5,0.005,long_short,,0.004970087975115,0.4686407627969828,121.0,16.0,46.0,0.5020491803278688,0.5556827154064542,0.5384615384615384,0.4921104536489151,50,50,0,0,0.6,1.578972138627463,0.6302515508117874,LSTM,,,,,,,,,,,,,,,,
META,6,0.0075,long_short,,0.0001411128364163,0.3910999878289862,111.0,32.0,36.0,0.5450819672131147,0.5565876108572964,0.4886877828054298,0.600950508030154,41,0,41,0,0.3414634146341463,-1.8850047617923165,-0.448020620317209,LSTM,,,,,,,,,,,,,,,,
META,7,0.0075,long_short,,0.0001601637475876,0.2121402020377517,120.0,45.0,56.0,0.5471311475409836,0.5785515425605624,0.4886877828054298,0.6105375286791217,35,0,35,0,0.3428571428571428,-1.7079865749536804,-0.4308402104752221,LSTM,,,,,,,,,,,,,,,,
META,8,0.01,long_short,,0.0072166310457486,0.4713786619697084,183.0,119.0,56.0,0.5245901639344263,0.5519111570247934,0.4932126696832579,0.5349237579931136,31,2,29,0,0.4193548387096774,-0.8842321060324561,-0.2854407699434589,LSTM,,,,,,,,,,,,,,,,
