Stock,Ablation,Model,Horizon,Threshold,Seed,Best_Params,Val_Accuracy,Val_ROC_AUC,Val_Trades,Val_WinRate,Val_Sharpe,Val_AnnualReturn,Val_MDD,Val_Sortino,Test_Accuracy,Test_ROC_AUC,Test_Trades,Test_WinRate,Test_Sharpe,Test_AnnualReturn,Test_MDD,Test_Sortino,Test_Calmar
AAPL,full_70_30,random_forest,2,0.0025,42,"{""n_estimators"": ""71"", ""max_depth"": ""20"", ""criterion"": ""gini""}",0.5443548387096774,0.5549568965517242,123,0.5040650406504065,1.1686197108652345,0.5982195742778005,-0.10481620449744576,2.1108620971181384,0.5284552845528455,0.4902116402116402,122,0.5491803278688525,1.2315152107850251,0.6726474628165353,-0.14196082383611483,2.2192765814003863,4.738261195166534
AAPL,full_70_30,random_forest,2,0.0025,7,"{""n_estimators"": ""168"", ""max_depth"": ""16"", ""criterion"": ""gini""}",0.5483870967741935,0.5583202716823406,123,0.4878048780487805,1.2214044045288812,0.6354216966160211,-0.10561526879874858,2.303751331573739,0.4959349593495935,0.4955026455026455,122,0.4918032786885246,0.052224132002148434,-0.027319122757343273,-0.2007187521048472,0.08829475014372101,-0.1361064796929033
AAPL,full_70_30,random_forest,2,0.0025,1337,"{""n_estimators"": ""50"", ""max_depth"": ""11"", ""criterion"": ""gini""}",0.5120967741935484,0.5539119644723093,123,0.4796747967479675,0.894077866851214,0.4177601240375515,-0.09828265974413795,2.095568987577504,0.5,0.48872354497354503,122,0.45901639344262296,-0.28000750171542477,-0.1667690592869575,-0.2292812244103941,-0.46402839599725615,-0.7273559346859336
AAPL,full_70_30,random_forest,2,0.0025,2024,"{""n_estimators"": ""50"", ""max_depth"": ""11"", ""criterion"": ""gini""}",0.532258064516129,0.5576998432601881,123,0.4878048780487805,1.4082582441762765,0.7737363769268124,-0.10566924366326533,3.2378822461086485,0.491869918699187,0.472718253968254,122,0.47540983606557374,-0.03604440935297492,-0.06641655878466068,-0.2319028728469917,-0.062465587792655056,-0.2863981716538802
AAPL,full_70_30,random_forest,2,0.0025,31415,"{""n_estimators"": ""50"", ""max_depth"": ""3"", ""criterion"": ""entropy""}",0.5201612903225806,0.5568508359456635,123,0.4959349593495935,1.0873334921528304,0.5427267308808839,-0.14634687070535846,2.093123542118978,0.4959349593495935,0.489484126984127,122,0.48360655737704916,0.9231206303095132,0.45399144986730366,-0.15360358040061764,1.723069177994729,2.9556046068928623
AAPL,full_70_30,random_forest,5,0.005,42,"{""n_estimators"": ""52"", ""max_depth"": ""17"", ""criterion"": ""gini""}",0.5795918367346938,0.598843537414966,48,0.4583333333333333,0.7891034411243159,1.0732515145421813,-0.1899216859355567,1.620560592192447,0.5284552845528455,0.5288493350095944,49,0.3469387755102041,-0.8110870809336536,-0.7120158047419303,-0.2572434363770178,-1.2427383629399715,-2.7678677239344402
AAPL,full_70_30,random_forest,5,0.005,7,"{""n_estimators"": ""50"", ""max_depth"": ""15"", ""criterion"": ""entropy""}",0.563265306122449,0.5921428571428572,48,0.4166666666666667,0.3659306616063019,0.3272300934865342,-0.17032703225598797,0.8683823616907567,0.508130081300813,0.5189902732746642,49,0.3877551020408163,-0.33629827383409283,-0.46135350903984784,-0.23264873878354717,-0.5083946769008938,-1.9830475396175868
AAPL,full_70_30,random_forest,5,0.005,1337,"{""n_estimators"": ""500"", ""max_depth"": ""20"", ""criterion"": ""gini""}",0.5714285714285714,0.5924829931972789,48,0.4375,0.601603632804922,0.7032468045766369,-0.20545703570993806,1.2907942140384283,0.532520325203252,0.543704095811553,49,0.3673469387755102,-0.9447013893590781,-0.7582229853800864,-0.29933572123350777,-1.3801624793969207,-2.533018719769188
AAPL,full_70_30,random_forest,5,0.005,2024,"{""n_estimators"": ""164"", ""max_depth"": ""14"", ""criterion"": ""gini""}",0.5551020408163265,0.6013945578231292,48,0.4583333333333333,1.0788159037202512,1.7981163612285376,-0.1334172442228276,2.3849680563471183,0.516260162601626,0.5257063455303381,49,0.3673469387755102,-0.9557284972420653,-0.7616975936630324,-0.3274228525254113,-1.3942612593912098,-2.326342183473333
AAPL,full_70_30,random_forest,5,0.005,31415,"{""n_estimators"": ""51"", ""max_depth"": ""18"", ""criterion"": ""entropy""}",0.5836734693877551,0.5946938775510204,48,0.5208333333333334,1.5994476424150819,3.712715449630637,-0.1334172442228279,3.498464978709806,0.5447154471544715,0.5445311983060941,49,0.40816326530612246,-0.2887576427815612,-0.4263355155794153,-0.23448184161086275,-0.42970637261774025,-1.8182026917331437
