Stock,Ablation,Model,Horizon,Threshold,Seed,Best_Params,Val_Accuracy,Val_ROC_AUC,Val_Trades,Val_WinRate,Val_Sharpe,Val_AnnualReturn,Val_MDD,Val_Sortino,Test_Accuracy,Test_ROC_AUC,Test_Trades,Test_WinRate,Test_Sharpe,Test_AnnualReturn,Test_MDD,Test_Sortino,Test_Calmar
AAPL,full_70_30,svm,2,0.0025,42,"{""C"": 9.256818992066885, ""gamma"": 0.08580760619921303, ""kernel"": ""linear""}",0.5161290322580645,0.599333855799373,123,0.45528455284552843,0.05133130925805505,-0.025045778271715835,-0.18883393499275755,0.10206723411823944,0.4796747967479675,0.4641534391534391,122,0.4098360655737705,-1.726760569536709,-0.5736794358820729,-0.4324495758406784,-2.3477972395080564,-1.3265811043214573
AAPL,full_70_30,svm,2,0.0025,7,"{""C"": 10.0, ""gamma"": 1.0, ""kernel"": ""linear""}",0.5,0.6199059561128527,123,0.43089430894308944,-1.790081653733777,-0.5709514770430664,-0.3407016025358826,-2.736774939074714,0.4959349593495935,0.48548280423280427,122,0.4016393442622951,-1.9189972564397066,-0.6091812760336182,-0.4179983680959428,-2.8516663219487373,-1.4573771634768518
AAPL,full_70_30,svm,2,0.0025,1337,"{""C"": 10.0, ""gamma"": 0.010537661217793001, ""kernel"": ""linear""}",0.5040322580645161,0.6004114420062696,123,0.4634146341463415,0.3204409546441645,0.0994615493250317,-0.13391741391385847,0.6470625456957657,0.4634146341463415,0.472420634920635,122,0.4016393442622951,-1.7728813910521701,-0.5824631864038203,-0.38899849268752285,-2.513037585714547,-1.4973404713722247
AAPL,full_70_30,svm,2,0.0025,2024,"{""C"": 0.7938236768030622, ""gamma"": 0.1200781457018476, ""kernel"": ""linear""}",0.5080645161290323,0.6125261233019854,123,0.4634146341463415,-0.23608464442112934,-0.14303583809116427,-0.252606209707307,-0.4042346791482076,0.491869918699187,0.4827380952380953,122,0.4016393442622951,-1.9834979491054303,-0.620476496841525,-0.4187919939759877,-2.7697769109864825,-1.4815863382457621
AAPL,full_70_30,svm,2,0.0025,31415,"{""C"": 9.341161803617371, ""gamma"": 0.014570168042817131, ""kernel"": ""linear""}",0.5040322580645161,0.6038401253918496,123,0.44715447154471544,-0.3849461866491581,-0.19834727919282713,-0.252606209707307,-0.6666741539151017,0.4634146341463415,0.4729166666666667,122,0.38524590163934425,-2.4356689266668865,-0.6899245170176649,-0.47097056410281746,-3.450294843260558,-1.4648994429873703
AAPL,full_70_30,svm,5,0.005,42,"{""C"": 0.1, ""gamma"": 1.0, ""kernel"": ""linear""}",0.49795918367346936,0.5681292517006802,48,0.375,-1.3818212238222807,-0.7923618068139582,-0.24678474900240593,-2.615630210190709,0.4268292682926829,0.4931515913451995,49,0.30612244897959184,-2.948404069407868,-0.9780599997106483,-0.5681640973498757,-3.7642047186692533,-1.7214392888826948
AAPL,full_70_30,svm,5,0.005,7,"{""C"": 0.1, ""gamma"": 0.08680046896184634, ""kernel"": ""linear""}",0.4897959183673469,0.5628571428571428,48,0.375,-0.5463065329388814,-0.500591473790326,-0.22615001188658287,-1.0915528242335768,0.483739837398374,0.49335009594388934,49,0.3673469387755102,-2.158261155592281,-0.9468334489676777,-0.46094066971756853,-2.749836503250105,-2.0541330179170987
AAPL,full_70_30,svm,5,0.005,1337,"{""C"": 0.1, ""gamma"": 0.08195343989980221, ""kernel"": ""linear""}",0.5020408163265306,0.5658503401360544,48,0.375,-1.3818212238222807,-0.7923618068139582,-0.24678474900240593,-2.615630210190709,0.42276422764227645,0.4940448620393039,49,0.30612244897959184,-2.948404069407868,-0.9780599997106483,-0.5681640973498757,-3.7642047186692533,-1.7214392888826948
AAPL,full_70_30,svm,5,0.005,2024,"{""C"": 0.1, ""gamma"": 1.0, ""kernel"": ""linear""}",0.46938775510204084,0.5630272108843537,48,0.3333333333333333,-2.4812296479201947,-0.9288671658806577,-0.3662553512629615,-4.45263116309329,0.4634146341463415,0.5085687818434461,49,0.32653061224489793,-2.522803798595382,-0.9650553075640853,-0.5272575085140933,-3.2524864575797117,-1.8303301365660685
AAPL,full_70_30,svm,5,0.005,31415,"{""C"": 0.1, ""gamma"": 1.0, ""kernel"": ""linear""}",0.5183673469387755,0.5606802721088435,48,0.3958333333333333,0.08142697267044885,-0.020580875421583156,-0.21014698105561455,0.19128026736544726,0.508130081300813,0.4943426189373387,49,0.3673469387755102,-1.5908885939652406,-0.8941550180217779,-0.41585420714818505,-2.1145657811158487,-2.1501646554297227
