Stock,Ablation,Model,Horizon,Threshold,Seed,Best_Params,Val_Accuracy,Val_ROC_AUC,Val_Trades,Val_WinRate,Val_Sharpe,Val_AnnualReturn,Val_MDD,Val_Sortino,Test_Accuracy,Test_ROC_AUC,Test_Trades,Test_WinRate,Test_Sharpe,Test_AnnualReturn,Test_MDD,Test_Sortino,Test_Calmar
AAPL,full_70_30,xgboost,2,0.0025,42,"{""n_estimators"": ""266"", ""learning_rate"": 0.06224401869851047, ""max_depth"": ""3"", ""subsample"": 0.8089751801368787, ""colsample_bytree"": 0.6598459532028341}",0.5725806451612904,0.5785331765935213,123,0.5203252032520326,1.1068463449494113,0.5555016201019685,-0.1799186476307626,1.813249883018099,0.5,0.49004629629629637,122,0.45081967213114754,-0.16475164528818464,-0.1206886032004757,-0.19555209550981165,-0.29229425528557657,-0.6171685498221636
AAPL,full_70_30,xgboost,2,0.0025,7,"{""n_estimators"": ""50"", ""learning_rate"": 0.29999999999999993, ""max_depth"": ""3"", ""subsample"": 1.0, ""colsample_bytree"": 0.5529313789226838}",0.5645161290322581,0.5775862068965517,123,0.5121951219512195,1.4382468927302423,0.7964955774656299,-0.1404449501439026,2.8345658849579873,0.4878048780487805,0.4763888888888889,122,0.45901639344262296,0.06498409303593616,-0.021452713060774675,-0.19700645843817263,0.11733918325149272,-0.10889345065561529
AAPL,full_70_30,xgboost,2,0.0025,1337,"{""n_estimators"": ""113"", ""learning_rate"": 0.16274461260584297, ""max_depth"": ""11"", ""subsample"": 0.9642035656883222, ""colsample_bytree"": 0.8097736246334424}",0.5604838709677419,0.5710880355276907,123,0.5121951219512195,0.6293502151354212,0.26085072888543204,-0.23028308588413735,1.0569681524024526,0.4634146341463415,0.49642857142857144,122,0.45901639344262296,0.1242604415192647,0.006008566110569991,-0.24521252296381923,0.239022565512924,0.024503504298826313
AAPL,full_70_30,xgboost,2,0.0025,2024,"{""n_estimators"": ""295"", ""learning_rate"": 0.04568732110370577, ""max_depth"": ""3"", ""subsample"": 0.8861765562995796, ""colsample_bytree"": 0.561852378512377}",0.5725806451612904,0.5797740334378265,123,0.5121951219512195,1.5765007828273019,0.9063891836096614,-0.13835412704232422,3.088323607101925,0.5121951219512195,0.49156746031746024,122,0.45081967213114754,-0.2183730914910025,-0.1423822964048278,-0.20465734882390269,-0.38601012333691537,-0.6957106462242926
AAPL,full_70_30,xgboost,2,0.0025,31415,"{""n_estimators"": ""50"", ""learning_rate"": 0.2668871878692183, ""max_depth"": ""8"", ""subsample"": 1.0, ""colsample_bytree"": 0.5}",0.5564516129032258,0.5850313479623825,123,0.4959349593495935,0.9697842201615099,0.4649921965534549,-0.19926532461995097,1.6358594644690354,0.4878048780487805,0.48994708994708996,122,0.4344262295081967,-0.17361138401060905,-0.12415865198419851,-0.24486440219025785,-0.33819317855478026,-0.507050640573423
AAPL,full_70_30,xgboost,5,0.005,42,"{""n_estimators"": ""245"", ""learning_rate"": 0.011655621999430463, ""max_depth"": ""11"", ""subsample"": 0.5010122565321218, ""colsample_bytree"": 0.6024032425264888}",0.5469387755102041,0.5961564625850341,48,0.4166666666666667,-0.40499975426639456,-0.4190559882479249,-0.1946207571216246,-0.8036494156869879,0.524390243902439,0.5021173823860252,49,0.4489795918367347,-0.752304075612889,-0.689305744820898,-0.30633802692108436,-1.0614018136328844,-2.250147498007062
AAPL,full_70_30,xgboost,5,0.005,7,"{""n_estimators"": ""354"", ""learning_rate"": 0.01, ""max_depth"": ""8"", ""subsample"": 0.5, ""colsample_bytree"": 0.6674820020584709}",0.5591836734693878,0.5981292517006803,48,0.4583333333333333,0.48528152548207937,0.5061110024292821,-0.15251167423724424,1.0343474438419962,0.508130081300813,0.4996029908026203,49,0.46938775510204084,-0.587047686980418,-0.6138732779025291,-0.30633802692108436,-0.8149095994893663,-2.0039081797072122
AAPL,full_70_30,xgboost,5,0.005,1337,"{""n_estimators"": ""84"", ""learning_rate"": 0.01, ""max_depth"": ""10"", ""subsample"": 0.568962101347505, ""colsample_bytree"": 0.7243023678313074}",0.5591836734693878,0.596734693877551,48,0.4583333333333333,0.39126829994556084,0.3630829247093088,-0.16846698851962624,0.8364948818032234,0.508130081300813,0.49100112485939257,49,0.46938775510204084,-0.587047686980418,-0.6138732779025291,-0.30633802692108436,-0.8149095994893663,-2.0039081797072122
AAPL,full_70_30,xgboost,5,0.005,2024,"{""n_estimators"": ""50"", ""learning_rate"": 0.29999999999999993, ""max_depth"": ""3"", ""subsample"": 0.5502954180519908, ""colsample_bytree"": 0.5837081309822879}",0.5918367346938775,0.61578231292517,48,0.5,1.113515221846506,1.8990494460211917,-0.14358736192343283,2.4951764981534796,0.4796747967479675,0.5176338251836168,49,0.40816326530612246,-1.484469346184134,-0.8790004657689351,-0.39109856682627364,-2.063889287500574,-2.2475164583238882
AAPL,full_70_30,xgboost,5,0.005,31415,"{""n_estimators"": ""50"", ""learning_rate"": 0.01, ""max_depth"": ""6"", ""subsample"": 0.5328879155427304, ""colsample_bytree"": 0.7936103582922895}",0.5551020408163265,0.6006802721088437,48,0.4583333333333333,0.47402369234646075,0.4882498744625161,-0.18428403433708507,1.0106238313081097,0.46747967479674796,0.4943757030371203,49,0.3673469387755102,-1.5427644463376713,-0.8875223307165939,-0.39255315352616094,-2.151381002066869,-2.260897212885202
