Stock,Split,Trading days,News coverage,Social coverage,Missing-day rate,Mean News,Mean Social
AAPL,train,756,0.988,1.0,0.0,0.4886,0.722
AAPL,val,250,1.0,0.992,0.0,0.4659,0.6444
AAPL,test,251,1.0,0.988,0.0,0.3498,0.639
META,train,756,0.938,0.897,0.0,0.5417,0.87
META,val,250,0.968,0.836,0.0,0.4474,0.7222
META,test,251,0.9,0.908,0.0,0.5371,0.677
NVDA,train,756,0.896,1.0,0.0,0.4815,0.6728
NVDA,val,250,1.0,0.972,0.0,0.4784,0.6374
NVDA,test,251,1.0,1.0,0.0,0.3593,0.6658
SPY,train,756,0.927,0.918,0.0,0.3932,0.7783
SPY,val,250,0.984,0.984,0.0,0.2607,0.7364
SPY,test,251,0.406,1.0,0.0,0.4859,0.7644
TSLA,train,756,1.0,1.0,0.0,0.5125,0.7433
TSLA,val,250,1.0,0.968,0.0,0.4351,0.7611
TSLA,test,251,1.0,0.988,0.0,0.3916,0.7713
